paper_id,n_rows,cap_mean,cap_median,cap_sd,cap_min,cap_max,cap_range,n_descriptors_reported,interlayer_A__median,interlayer_A__n,scan_rate_mV_s__median,scan_rate_mV_s__n,current_density_A_g__median,current_density_A_g__n,mass_loading_mg_cm2__median,mass_loading_mg_cm2__n,electrode_thickness_um__median,electrode_thickness_um__n,ssa_m2_g__median,ssa_m2_g__n,flake_size_um__median,flake_size_um__n,pore_diameter_nm__median,pore_diameter_nm__n,h2so4_M__median,h2so4_M__n,layer_class__mode,layer_class__n_levels,composition_family__mode,composition_family__n_levels,synthesis_family__mode,synthesis_family__n_levels,electrolyte_is_gel__mode,electrolyte_is_gel__n_levels
10.1038/nenergy.2017.105,7,324.14285714285717,354.0,103.08641774651753,125.0,450.0,325.0,10,26.8,3,7.5,6,10.0,1,2.75,6,13.0,7,,0,,0,,0,3.0,7,single_or_few_layer,1,pristine_mxene,2,LiF_HCl_MILD,1,False,1
10.1039/c8nr06014b,2,334.5,334.5,146.37110370561533,231.0,438.0,207.0,8,,0,10.0,2,,0,0.14,1,,0,108.0,1,,0,3.9,1,3.0,2,,0,doped_mxene,2,LiF_HCl_MILD,1,False,1
10.1002/adma.201701264,4,325.875,330.04999999999995,12.181235569514275,308.0,335.4,27.399999999999977,8,14.85,4,2.0,4,,0,,0,,0,43.849999999999994,2,,0,,0,3.0,4,delaminated,1,mxene_carbon_composite,2,LiF_HCl_MILD,1,False,1
10.1016/j.jallcom.2022.166647,7,334.57142857142856,325.0,27.83197886638763,303.0,385.0,82.0,10,13.955,4,,0,1.0,7,3.0,7,,0,48.3,5,,0,3.0,1,1.0,7,single_or_few_layer,1,structured_pristine_mxene,2,LiF_HCl_MILD,1,False,1
ssrn-5211970.pdf,3,326.6666666666667,298.0,64.93329911018947,281.0,401.0,120.0,7,13.5,3,,0,1.0,3,,0,,0,,0,,0,,0,1.0,3,delaminated,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1039/c8nr01550c,1,288.0,288.0,,288.0,288.0,0.0,10,12.4,1,,0,0.5,1,1.0,1,13.0,1,1.5,1,,0,,0,3.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1021/acsnano.2c03351,1,287.9,287.9,,287.9,287.9,0.0,7,13.6,1,5.0,1,,0,,0,,0,,0,,0,,0,3.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1016/j.ceramint.2020.05.247,2,287.0,287.0,74.95331880577403,234.0,340.0,106.0,8,,0,2.0,2,,0,1.35,2,5.0,1,,0,,0,,0,1.0,2,multilayer,1,doped_mxene,2,LiF_HCl_MILD,1,False,1
10.1016/j.ensm.2023.103148,9,258.3333333333333,280.0,62.05441160787845,100.0,300.0,200.0,10,5.3,9,5.0,8,20.0,1,3.2,9,200.0,9,,0,,0,,0,0.5,9,delaminated,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1038/s41586-018-0109-z,4,256.25,260.5,14.430869689661812,236.0,268.0,32.0,9,,0,10.0,4,,0,4.88,2,140.0,4,,0,0.219,4,,0,3.0,4,delaminated,1,mxene_carbon_composite,1,LiF_HCl_MILD,1,False,1
10.1002/smll.201804732,1,258.2,258.2,,258.2,258.2,0.0,8,39.3,1,5.0,1,,0,,0,,0,,0,1.3,1,,0,1.0,1,delaminated,1,mxene_polymer_composite,1,LiF_HCl_MILD,1,False,1
10.1021/acsnano.3c11551,1,252.5,252.5,,252.5,252.5,0.0,8,14.0,1,10.0,1,,0,,0,,0,20.0,1,,0,,0,3.0,1,delaminated,1,structured_pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1002/adma.201504705,3,303.3333333333333,249.0,97.59269098315372,245.0,416.0,171.0,9,11.9,2,5.0,3,,0,0.93,1,13.0,1,,0,,0,,0,1.0,3,delaminated,1,mxene_polymer_composite,2,LiF_HCl_MILD,1,False,1
10.1016/j.electacta.2022.139871,4,277.175,241.0,100.80933736514689,201.0,425.7,224.7,10,12.84,4,10.0,1,1.0,3,,0,30.76,3,4.46,2,,0,,0,1.0,4,multilayer,1,mxene_polymer_composite,2,LiF_HCl_MILD,1,False,1
10.1039/c8dt04374d,3,247.66666666666666,241.0,35.47299442298794,216.0,286.0,70.0,7,14.24,3,2.0,3,,0,,0,,0,44.95,2,,0,,0,1.0,3,,0,mxene_polymer_composite,2,LiF_HCl_MILD,1,False,1
10.1016/j.jallcom.2021.161304,3,257.3333333333333,238.0,43.3628104870214,227.0,307.0,80.0,7,11.95,2,2.0,3,,0,,0,,0,43.0,2,,0,,0,1.0,3,,0,pristine_mxene,2,LiF_HCl_MILD,1,False,1
10.1002/batt.201800014,1,234.0,234.0,,234.0,234.0,0.0,8,12.5,1,2.0,1,,0,,0,10000.0,1,,0,,0,,0,1.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1002/smll.202205947,3,226.33333333333334,223.0,30.13856886670854,198.0,258.0,60.0,10,14.1,1,10.0,2,0.5,1,,0,10.0,3,,0,0.26,2,,0,3.0,3,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1016/j.carbpol.2022.120519,3,233.0,221.0,117.46063170271135,122.0,356.0,234.0,5,,0,,0,,0,,0,,0,,0,,0,,0,1.0,3,delaminated,1,mxene_carbon_composite,2,LiF_HCl_MILD,1,False,1
10.1039/d6ta00010j,8,217.34625,220.0,19.35035543232069,192.0,240.77,48.77000000000001,10,13.850000000000001,8,2.0,8,,0,1.1,1,63.55,4,6.105,2,,0,,0,1.0,7,single_or_few_layer,1,mxene_polymer_composite,2,LiF_HCl_MILD,1,False,2
10.1039/d5ta06789h,3,200.16666666666666,219.1,46.768507922889015,146.9,234.5,87.6,9,13.7,3,5.0,3,1.0,3,1.0,3,,0,,0,,0,,0,1.0,3,single_or_few_layer,1,pristine_mxene,2,LiF_HCl_MILD,1,False,1
10.1002/sus2.61,1,213.8,213.8,,213.8,213.8,0.0,7,12.8,1,,0,,0,,0,1.5,1,,0,,0,,0,1.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1002/slct.202200690,4,211.8,206.05,43.982951242498494,164.6,270.5,105.9,6,15.395,4,5.0,4,,0,,0,,0,,0,,0,,0,1.0,4,,0,mxene_carbon_composite,2,LiF_HCl_MILD,1,False,1
10.1002/adfm.202102874,4,182.25,201.5,110.1071447878535,31.0,295.0,264.0,10,13.9,4,2000.0,4,,0,1.1749999999999998,2,3.25,2,36.900000000000006,2,0.5700000000000001,1,,0,3.0,4,,0,pristine_mxene,2,LiF_HCl_MILD,1,False,1
10.1038/nature13970,3,196.0,182.0,43.71498598878879,161.0,245.0,84.0,8,,0,2.0,3,,0,8.8,3,30.0,3,,0,,0,,0,1.0,3,multilayer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1016/j.apsusc.2019.144250,1,166.0,166.0,,166.0,166.0,0.0,9,12.54,1,,0,1.0,1,1.67,1,4.6,1,,0,,0,,0,3.0,1,delaminated,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1002/celc.202100558,4,156.0,161.0,34.59287017098562,110.0,192.0,82.0,8,12.1,4,5.0,4,,0,1.26,4,,0,43.2,4,,0,,0,,0,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,True,1
10.1002/eem2.12876,5,166.4,151.0,87.40308919025688,74.0,294.0,220.0,9,12.9,4,10.0,4,,0,,0,0.75,1,14.850000000000001,2,,0,,0,1.0,5,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1021/acsnano.9b10066,1,140.0,140.0,,140.0,140.0,0.0,8,,0,,0,1.0,1,0.35,1,1.0,1,,0,,0,,0,1.0,1,single_or_few_layer,1,mxene_carbon_composite,1,LiF_HCl_MILD,1,False,1
10.1002/adma.202304757,1,7.26,7.26,,7.26,7.26,0.0,10,,0,10.0,1,,0,2.43,1,1000.0,1,,0,1.0,1,50000.0,1,3.0,1,delaminated,1,mxene_inorganic_composite,1,LiF_HCl_MILD,1,True,1
