search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,35,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / CNT sandwich-like composite,Alternating vacuum filtration of MXene and CNT dispersions,Multilayer,,,,,,,,,,,5 A/g,350 F/cm³ (volumetric),350 F/cm³,
1,36,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / reduced graphene oxide (rGO) composite,Mixed dispersion + filtration,Multilayer,,,,,,,,,,,,,435 F/cm³,
1,37,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / carbon quantum dots (CQD); CQDs prevent restacking and activate surface groups,Spray injection / mixing with CQDs,Multilayer,,,,,,,,,,,1 A/g,441.3 F/g,,
1,38,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx spray-injected onto NiCo2S4 on carbon cloth (TNSC composite),Spray injection of Ti3C2Tx onto NiCo2S4@carbon cloth,Multilayer,,,,,,,,,,,1 A/g,2326 F/g,,
1,39,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / polypyrrole (PPy) on textile electrode,Electrochemical deposition of PPy on MXene textile,Multilayer,,,,,,,,,,,1 A/g,343.20 F/g,,
1,40,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / PPy multidimensional nanostructure hydrogel electrode,In situ polymerization of PPy on MXene,Multilayer,,,,,,,,,,,1 A/g,614 F/g,,
1,42,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx porous foam with polystyrene sphere template (310 nm) + CNT,PS sphere templating + CNT incorporation,Multilayer (3D foam),,~310 nm (matched to template),,,,,,,,2 mV/s,,462 F/g (with CNT),,
1,43,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,3D crosslinked Ti3C2Tx network via Ti-N and S-S bonds using biological reagents,"Biothermochemistry crosslinking (glutathione, tannic acid, sodium alginate, phytic acid)",Multilayer (3D crosslinked),Expanded (d increases upon crosslinking),,,,,,,,,,1 A/g,265 F/g,,
1,44,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,p-phenylenediamine-intercalated Ti3C2Tx (PDA-MXene); expanded interlayer spacing,One-step amination intercalation with aromatic diamines,Multilayer,1.38 nm,,,Improved pore structure (qualitative),,,,,,,0.2 A/g,124.4 F/g,,
1,45,10.3390/app14062452,2024; Aleksandrova et al.,N-Ti3C2,Nitrogen-doped porous Ti3C2; leaf-like shape; MF microsphere template,Electrospinning with melamine-formaldehyde microsphere template; N-doping,Multilayer (3D porous),,200–300 nm nanofibers (avg ~230 nm),3D porous structure,,,,,,,,,~3× higher than pristine MXene (exact value not stated),,
1,46,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / acid-activated carbon (AAC) 2:1 positive electrode; AAC negative electrode,Mixed dispersion; acid activation of carbon,Multilayer,,,,,,,,,,,0.5 A/g,177 F/g,,
1,56,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",,,,,,,,,,KOH,,,,71.2,,
1,60,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ (V-doped),"Ti₃C₂ with V-doping, –OH, –F, =O terminations",,,,,,,,,,2 M KCl,,,,365.9,,
1,70,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD (LiF in 6 mol/L HCl, 35°C, 24h)",Single-layer (monolayer),,,,,,,1.5 mg/mL colloidal,,,,,,,
1,71,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF etching of Ti₃AlC₂ MAX phase + hydrazine intercalation,Multilayer,26.8 Å (post-intercalation; 19.5 Å baseline),,,,,,,,,,,,,
1,75,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","Ionic liquid ([C4mim]Cl) + NH₄HF₂ etching, binder-free compressed",,,,,,,150 µm,,,,,,304 F/g,,11.4 F/cm²
1,78,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ (–F/–OH removed) + holey graphene,"Filtration of alkalized MXene + holey graphene oxide, mild annealing",,,,,,,,12.6 mg/cm²,,,2 mV/s,,,1445 F/cm³,
1,79,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",Mechanical pressing of 3D MXene aerogel (compact folded film),,,,,,,,12.2 mg/cm²,,,,,,616 F/cm³,
1,82,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ pre-intercalated with K⁺ cations,K⁺ pre-intercalation of multilayer Ti₃C₂Tₓ,Multilayer,,,,,,,,,,,,300 F/g,,5.7 F/cm²
1,88,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ/PANI,Ti₃C₂ + polyaniline composite,MXene/PANI thick free-standing film,,,,,,,,,,,,,503 F/g,1682 F/cm³,
1,96,10.1021/acsaem.2c00653,"2022, Prenger et al.",,,HF/LiCl etching of Ti₃AlC₂ + NaCl ion exchange,Multilayer,12.37 (pre-ann.); 12.26 (post-ann.),,,,,31–34,4.2–5.2,1 M H₂SO₄,,5,5,265,,1500
1,97,10.1021/acsaem.2c00653,"2022, Prenger et al.",,,HF/LiCl etching of Ti₃AlC₂ + NaCl ion exchange,Multilayer,12.37 (pre-ann.); 12.26 (post-ann.),,,,,70–77,10.2–13.4,1 M H₂SO₄,,5,5,265,,3700
1,123,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Solution processing,,,,,,,,,,,,,,,205 mF cm⁻²
1,124,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Refluxing,,,,,,,,,,,,,130 F g⁻¹,,
1,125,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,5–9 nm,,,,,,,,181 F g⁻¹,,
1,126,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Vacuum filtration,,,,,,,~4 µm,,,,,,584 F g⁻¹,920 F cm⁻³,
1,127,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,,40 F g⁻¹,,
1,128,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrostatic self-assembly,,,,,,,,,,,,,289 F g⁻¹,,
1,129,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,1 A g⁻¹,1081 F g⁻¹,,
1,130,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,1 A g⁻¹,732 F g⁻¹,,
1,131,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Vacuum filtration,,,,,,,,,,,,,545 F g⁻¹,,
1,132,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,,,,19 mF cm⁻²
1,133,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Solvothermal,,,,,,,,,,36 m² g⁻¹,,,1680 F g⁻¹,,
1,134,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,,566 F g⁻¹,,
1,135,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,39 m² g⁻¹,,1 A g⁻¹,696 F g⁻¹,,
1,137,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal (drop casting),,,,,,,,,,,,,388 F g⁻¹,,
1,138,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,,447 mAh g⁻¹,,
1,139,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal (solvothermal),,,,,,,,,,,,,1320 F g⁻¹,,
1,140,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Solvothermal,,,,,,,,,,~20 m² g⁻¹,,,528 F g⁻¹,,
1,141,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",3D printing,,,,,,,,,,,,,540 mAh g⁻¹,,
1,142,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Magneto-hydrothermal,,~9.4 Å,,,,,,,,,,1 A g⁻¹,386 F g⁻¹,,347 mF cm⁻²
1,143,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,,410 F g⁻¹,,
1,144,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,6–9 Å,,,,,,,,,,,206 F g⁻¹,,
1,145,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Coprecipitation,,,,,,,,,,,,0.4 A g⁻¹,342 F g⁻¹,,
1,146,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,1 A g⁻¹,1489 F g⁻¹,,
1,147,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,1 A g⁻¹,1280 F g⁻¹,,
1,148,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Inkjet printing,,,,,,,,,,,,,,,146 mC cm⁻²
1,149,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,4.4 nm,,,,,,,,72 mAh g⁻¹,,
1,150,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,,,,,,1 A g⁻¹,531 F g⁻¹,,
1,151,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Gel electrolyte coating,,,,,,,,,,,,,113 F g⁻¹,,
1,152,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrostatic,,,,,,,,,,,,,,2472 C cm⁻³,
1,153,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Chemical bond,,,,,,,,,,,,,1575 F g⁻¹,,
1,154,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrodeposition,,,,,,,,,,,,2 A g⁻¹,983 F g⁻¹,,
1,155,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,,,10–20 nm,,,,,,720 F g⁻¹,,
1,156,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrospinning + dip-coating,,,,,,,,,,,,1 A g⁻¹,996 F g⁻¹,,
1,157,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Etching-deposition-growth,,,,,,,,,,,,1 A g⁻¹,919 F g⁻¹,,
1,158,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrostatic self-assembly,,,,,,,,,,,,,1207 F g⁻¹,,
1,159,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Vacuum filtration,,,,,,,,,,,,1 A g⁻¹,2010 F g⁻¹,,
1,160,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Electrostatic,,,,,,,,,,,,,1825 F g⁻¹,,
1,161,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Hydrothermal,,,,,3 nm,,,,,109 m² g⁻¹,,,1990 F g⁻¹,,
1,163,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,Ti₃C₂Tₓ with PEDOT particles (chemical oxidation),HF etching + chemical oxidation deposition,Multilayer,,,,,,,,,,,1,564,,
1,164,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,Ti₃C₂Tₓ nanosheets on NiCo₂S₄/carbon cloth,Hydrothermal + spray coating of MXene,Few-layer,,,,,,,,,,,1,2326,,
1,165,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,CoOₓ-NiO deposited on Ti₃C₂Tₓ via atomic layer deposition,HF or MILD etching + atomic layer deposition (90 cycles),Multilayer,,,,,,,,,,,1,1960,,
1,168,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,Ti₃C₂Tₓ intercalated with sub-50 nm MnO₂ nanowires,MILD etching + MnO₂ NWR intercalation,Delaminated,,,,,,,,,,,1,611.5,,
1,174,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,"Nanoporous Ti₃C₂Tₓ film (Fe(OH)₃ templated, 200°C calcination)",MILD etching + Fe(OH)₃ nanoparticle templating + low-T calcination,Few-layer,,,,,,,11.2,,,,0.5,,1142,
1,175,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,Ti₃C₂Tₓ coated on activated carbon cloth (drop coating),MILD etching + drop coating on activated CC,Multilayer,,,,,,,3 mg/cm³,,,,0.5 mA/cm²,,,413
2,13,10.1002/cnl2.70006,"2025, Zhang et al.",,"δ-MnO₂ nanoflowers (JCPDS 80-1098); Mn²⁺, Mn³⁺, Mn⁴⁺ confirmed by XPS",Hydrothermal method,,,,,,,,,1 M Na₂SO₄,,50 mV s⁻¹,1.0 A g⁻¹,107 F g⁻¹,,
2,14,10.1002/cnl2.70006,"2025, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; Ti-C, Ti(II), Ti-O confirmed by XPS",,,,,,,,,,1 M Na₂SO₄,,50 mV s⁻¹,1.0 A g⁻¹,2.0 F g⁻¹,,
2,94,10.1557/s43577-021-00150-z,"2021, Wang & Bannenberg",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",,,,,,,,,,H₂SO₄ (acidic aqueous),,,,,1500 F cm⁻³,
2,96,10.1557/s43577-021-00150-z,"2021, Wang & Bannenberg",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF etching of Ti₃AlC₂ MAX phase; film by rolling,Multilayer,,,,,,5–75 µm,,,19.6 m² g⁻¹,,,,370–900 F cm⁻³,
2,97,10.1557/s43577-021-00150-z,"2021, Wang & Bannenberg",Ti₃C₂Tₓ,Ti₃C₂ with surface terminations,Mechanical shearing of discotic lamellar liquid-crystal phase,,,,,,,40–320 µm,,,,Up to 100 V s⁻¹,,,,
3,3,10.1016/j.jobab.2021.10.001,2022; Wei et al.,,"Chitosan-derived N,O-doped porous carbon microsphere","Hydrothermal carbonization of chitosan (210°C, 20h) + KOH activation at 800°C for 2h",,,,,,,,~0.02 mg (4 mg/1000 µL; 5 µL on GCE),1 mol/L H₂SO₄ (3-electrode); 1 mol/L Na₂SO₄ (2-electrode),2387 m² g⁻¹,5 mV s⁻¹,0.5 A g⁻¹,,,
3,19,10.1002/adma.201702367,"2017, Liu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O surface terminations",Vacuum-assisted filtration + hydrazine hydrate-induced foaming (material-induced pore formation),,,,,,,"60 µm (porous); 6 µm (dense, same weight)",,,,,,,,
3,20,10.1021/acsaem.0c01308,"2020, Fan et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ; K⁺ ion-induced microgel with micro-nanopore structure,K⁺ ion-induced aggregation + rapid freezing/sublimation (material-induced pore formation + freeze-drying),,,,,,,86 µm,,,,,,,,
3,21,10.1016/j.carbon.2021.01.070,"2021, Zhang, Ruan, Shi, Qiu et al. (Gu group)",Ti₃C₂Tₓ,Ti₃C₂Tₓ / reduced graphene oxide (rGO) composite,Ion-induced self-assembly (NH₄HCO₃) + vacuum-assisted filtration + annealing at 350°C in H₂/Ar,,,,,,,,,,,,,,,
3,22,10.1002/adma.201702410,"2017, Zhao et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ hollow microsphere porous film; MXene coated on PMMA microspheres via hydrogen bonding,Template sacrifice — PMMA microsphere coating + vacuum-assisted filtration + heat treatment at 450°C/Ar/1h,,,,,,,,,,,,0.25 C; 25 C,,,
3,23,10.1002/smll.201904293,"2019, Zhao et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ freestanding flexible porous film; sulfur microspheres as pore formers,Template sacrifice — sulfur microspheres + vacuum-assisted filtration + heat treatment at 300°C/Ar/3h,,,,,,,,,,,,50 mA g⁻¹ (best); 18 A g⁻¹ (rate test),455.5 mAh g⁻¹ (at 50 mA g⁻¹); 101 mAh g⁻¹ (at 18 A g⁻¹) [Li-ion battery anode],,
3,24,10.1002/celc.201500467,"2016, Ren et al.",Ti₃C₂Tₓ,Porous MXene (p-MXene) + CNT composite; in-plane pore structure via CuSO₄ oxidation + HF etching of TiO₂,Chemical solvent etching — CuSO₄-catalyzed oxidation + 5 wt% HF etching + vacuum-assisted filtration,,,,,,,,,,,,0.1 C; 10 C,"1250 mAh g⁻¹ (at 0.1 C); 330 mAh g⁻¹ (at 10 C) [Li-ion battery anode, activated p-MXene/CNT]",,
3,25,10.1038/nenergy.2017.105,"2017, Lukatskaya et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ 3D porous film; MXene:PMMA mass ratio 1:4,Template sacrifice — PMMA microspheres + vacuum-assisted filtration + heat treatment at 400°C/Ar/1h,,,,,,,130 µm,,,,10 V s⁻¹; 40 V s⁻¹,,210 F g⁻¹ (at 10 V s⁻¹); 100 F g⁻¹ (at 40 V s⁻¹),,
3,26,10.1038/s41586-018-0109-z,"2018, Xia, Mathis, Zhao, Anasori, Gogotsi et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ + C₁₂E₆ non-ionic surfactant; discotic liquid crystal phase (MXLLC); vertically aligned porous structure,Mechanical shearing of discotic liquid crystal phase MXene (surfactant-assisted vertical alignment),,,,,,,< 200 µm (thickness-independent capacitance below this threshold),,,,2000 mV s⁻¹,,,,> 600 mF cm⁻² (at 2000 mV s⁻¹)
3,27,10.1002/adfm.201900326,"2019, Wang et al.",Ti₃C₂Tₓ,Ti₃C₂Tₓ + bacterial cellulose (BC) composite; honeycomb network porous structure,Vacuum-assisted filtration + freeze-drying (ice crystal sublimation creates high-porosity stable pore structure),,,,,,,,,,,,,416 F g⁻¹,,2084 mF cm⁻²
3,38,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + vacuum freeze-drying (aerogel),Monolayer (delaminated),(002) peak of Ti₃AlC₂ shifts to 6.3° 2θ after LiF/HCl etching and freeze-drying (d-spacing value not explicitly stated),,,,,,,,185 m² g⁻¹,20 mV s⁻¹ (Figure 5a comparison only),,,,
3,39,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + aerogel mechanically pressed at 10 MPa,Monolayer (delaminated),,,,,,,,,,20 mV s⁻¹ (Figure 5a comparison only),,,,
3,40,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + aerogel mechanically pressed at 20 MPa,Monolayer (delaminated),,,,,,,,,,20 mV s⁻¹ (Figure 5a comparison only),,,,
3,41,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + aerogel mechanically pressed at 30 MPa,Monolayer (delaminated),,,,,,,,,45 m² g⁻¹,20 mV s⁻¹ (Figure 5a comparison only),,,,
3,42,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + aerogel mechanically pressed at 40 MPa,Monolayer (delaminated),,,,,,,12.2 mg cm⁻² (high-loading test),,38 m² g⁻¹,2–500 mV s⁻¹ (Figure 5b); gravimetric shown at 2–500 mV s⁻¹ (Figure 5e),1–10 A g⁻¹,345 F g⁻¹ at 2 mV s⁻¹; 171 F g⁻¹ at 500 mV s⁻¹,932 F cm⁻³ at 2 mV s⁻¹; 462 F cm⁻³ at 500 mV s⁻¹; 616 F cm⁻³ at 12.2 mg cm⁻²,
3,43,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + aerogel mechanically pressed at 50 MPa,Monolayer (delaminated),,,,,,,,,35 m² g⁻¹,20 mV s⁻¹ (Figure 5a comparison only),,,,
3,44,10.1021/acsaem.9b02259,"2020, Fan et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + vacuum-assisted filtration (VAF),Monolayer (delaminated),,,,,,,,,2 m² g⁻¹,2–500 mV s⁻¹ (Figure 5c); gravimetric shown at 2–500 mV s⁻¹ (Figure 5e),,294 F g⁻¹ at 2 mV s⁻¹,Higher than CN-MX40 at scan rates <200 mV s⁻¹; 395 F cm⁻³ at 500 mV s⁻¹,
3,50,10.1021/acsomega.3c02002,2023; Aravind et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl (MILD etching) at 45 °C, 24–45 h","Multilayer, delaminated",,,,,,,,,,,,,900 F cm⁻³,
3,51,10.1021/acsomega.3c02002,2023; Aravind et al.,Ti₃C₂Tₓ,Mesoporous Ti₃C₂Tₓ,LiF etching (Zhang et al.),,,,,,,,,,,,,,2079 F cm⁻³,
3,52,10.1021/acsomega.3c02002,2023; Aravind et al.,Ti₃C₂Tₓ,Ti₃C₂ with –OH and =O terminations; fluorine-free,Alkali etching (1 M NH₄Cl + 0.2 M TMAOH),Single or bilayer,,,,,,,,,,,2 A g⁻¹,368.1 F g⁻¹,,
