search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,26,10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ/CF,Ti₃C₂Tₓ ink coated on carbon fiber substrate,Ti₃C₂Tₓ ink coating on carbon fiber,,,,,,,,,1 M H₂SO₄,,100 mV s⁻¹,20 A g⁻¹,350 F g⁻¹,,
1,27,10.1002/advs.202101664,"2021, Huang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; proton intercalated in H₂SO₄",FAT delamination → unidirectional freezing → thawing in 3 M H₂SO₄,Delaminated (single/few-layer),15.7 Å,~8.0 µm,,,,,~20 mg/mL (slurry conc.),3 M H₂SO₄,,5 mV s⁻¹,,393 F g⁻¹,,
1,28,10.1002/advs.202101664,"2021, Huang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; no directional alignment",FAT delamination → direct freezing at −20 °C → thawing in 3 M H₂SO₄,Delaminated,,~8.0 µm,,,,,,3 M H₂SO₄,,5 mV s⁻¹,,352.2 F g⁻¹,,
1,29,10.1002/advs.202101664,"2021, Huang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; post-immersion proton intercalation",FAT delamination → unidirectional freezing → lyophilization → immersion in H₂SO₄,Delaminated,13.8 Å,~8.0 µm,,,,,,3 M H₂SO₄,,5 mV s⁻¹,,323.5 F g⁻¹,,
1,30,10.1002/advs.202101664,"2021, Huang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; compact self-restacked","FAT delamination → vacuum filtration (cellulose acetate, 3 µm) → vacuum drying",Delaminated (restacked),13.1 Å,~8.0 µm,,,,,,3 M H₂SO₄,,5 mV s⁻¹,,283 F g⁻¹,,
1,31,10.1002/advs.202101664,"2021, Huang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; honeycomb-like 3D architecture",DIW 3D printing (50 mg/mL ink) → unidirectional freezing → thawing in 3 M H₂SO₄ → PVA/H₂SO₄ gel electrolyte,Delaminated,,~8.0 µm,,,,,5.2 mg cm⁻²,PVA/H₂SO₄ gel,,5 mV s⁻¹,1.2 mA cm⁻²,,,2.0 F cm⁻²
1,32,10.1021/an2c05081,Syamsai et al.,TixTa4-xC3,"Ti-Ta carbide; -F, -OH, =O terminations (HF etching implied)",HF etching of TiTaAlC MAX phase,,,,,,,,1 mg on carbon paper,0.1 M H2SO4 (aq); PVA-H2SO4 gel,,1-100 mV/s,,,,
1,41,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2Tx / polyaniline (PANI); PANI in situ polymerized on MXene surface,In situ polymerization of PANI on Ti3C2Tx,Multilayer,,,,,,,,1 M H2SO4,,,,503 F/g (gravimetric); 336 F/g specific,1682 F/cm³,
1,47,10.1039/d0ta00687d,"2020, Qin et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F terminations","MILD (LiF/HCl etching of Ti₃AlC₂, manual shaking delamination in DI water)",Single-layer (delaminated),11.6 Å,1–4 µm (pre-sonication); <1 µm (post-sonication),,,,17 nm,,Organic solid ionogel,,2 mV s⁻¹,1 A cm⁻³,,502 F cm⁻³ (at 2 mV s⁻¹); 450 F cm⁻³ (at 1 A cm⁻³),
1,48,10.1039/D0TA01798A,"2020, Pinto et al.",Mo2.7V1.3C3,"Mo-V solid solution double transition metal MXene; =O and -F surface terminations (O=3.69, F=0.92 per formula unit, delaminated film, EDS)","HF etching of Mo2.7V1.3AlC3 MAX (48-51% HF, 50°C, 96 h); TMAOH delamination (0.55 M, 18 h); vacuum filtration on Celgard membrane",Few- to single-layer (delaminated),,325 ± 150 nm,,,,,,1 M H2SO4,,5 mV s⁻¹,,,860 F cm⁻³,
1,49,10.1039/D0TA01798A,"2020, Pinto et al.",Mo2V2C3,"Mo-V solid solution double transition metal MXene; =O and -F surface terminations (O=2.14, F=0.75 per formula unit, delaminated film, EDS)","HF etching of Mo2V2AlC3 MAX (48-51% HF, 50°C, 96 h); TMAOH delamination (0.55 M, 18 h); vacuum filtration on Celgard membrane",Few- to single-layer (delaminated),,340 ± 130 nm,,,,,,1 M H2SO4,,5 mV s⁻¹,,,680 F cm⁻³,
1,50,10.1039/D0TA01798A,"2020, Pinto et al.",MoV3C3,,"HF etching of MoV3AlC3 MAX (48-51% HF, 50°C, 96 h); TMAOH delamination (0.85 M, 18 h); vacuum filtration on Celgard membrane",Few- to single-layer (delaminated),,165 ± 95 nm,,,,,,1 M H2SO4,,5 mV s⁻¹,,,450 F cm⁻³,
1,51,10.1039/d2ta08995e,"2023, Inman et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –F, –O, –OH terminations",Mixed HF/HCl acid etching of Al-Ti₃AlC₂ MAX phase,,,~530 nm,,,,,24.2 mg cm⁻²,LiCl/PVA gel,,,0.16 mA cm⁻²,,,146 mF cm⁻²
1,54,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF etching,,2,,,,,,,KOH,,2,,,340,
1,57,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl (MILD etching),,,,,,,,,1 M LiTFSI in PC,,2,,195,410,
1,58,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",Lewis acid molten salt etching (ZnCl₂),,,,,,,,,1 M LiPF₆ in EC/DMC (1:1),,0.5,,264,,
1,59,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl (MILD etching),,,,,,,,,MSA/PVA hydrogel (solid),,2,,,,1719
1,61,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (KCl),Multilayer,"12.47 Å (pre-ann.), 12.06 Å (post-ann.)",,,,,30–35 µm,4.2–5.2,1 M H₂SO₄,,5 mV/s,5 A/g,286,,1.5
1,62,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (NaCl),Multilayer,"12.37 Å (pre-ann.), 12.26 Å (post-ann.)",,,,,30–35 µm,4.2–5.2,1 M H₂SO₄,,5 mV/s,5 A/g,265,,1.3
1,63,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (MgCl₂),Multilayer,"14.79 Å (pre-ann.), 14.47 Å (post-ann.)",,,,,30–35 µm,4.2–5.2,1 M H₂SO₄,,5 mV/s,5 A/g,214,,1
1,64,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ (no ion exchange),Multilayer,"13.25 Å (pre-ann.), 10.67 Å (post-ann.)",,,,,30–35 µm,4.2–5.2,1 M H₂SO₄,,5 mV/s,5 A/g,187.5,,0.7
1,65,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (KCl),Multilayer,"12.47 Å (pre-ann.), 12.06 Å (post-ann.)",,,,,70–77 µm,10.2–13.4,1 M H₂SO₄,,5 mV/s,,,,3.7
1,66,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (NaCl),Multilayer,"12.37 Å (pre-ann.), 12.26 Å (post-ann.)",,,,,70–77 µm,10.2–13.4,1 M H₂SO₄,,5 mV/s,,,,3.7
1,67,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (MgCl₂),Multilayer,"14.79 Å (pre-ann.), 14.47 Å (post-ann.)",,,,,70–77 µm,10.2–13.4,1 M H₂SO₄,,5 mV/s,,,,
1,68,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ (no ion exchange),Multilayer,"13.25 Å (pre-ann.), 10.67 Å (post-ann.)",,,,,70–77 µm,10.2–13.4,1 M H₂SO₄,,5 mV/s,,,,
1,69,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",HF/LiCl etching of Ti₃AlC₂ + ion exchange (KCl),Multilayer,"12.47 Å (pre-ann.), 12.06 Å (post-ann.)",,,,,103 µm,20.1,1 M H₂SO₄,,5 mV/s,,,,5.7
1,72,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ with expanded interlayer spacing,HF etching + CTAB surfactant intercalation,,3.78 nm,,,,,,,1 mol/L H₂SO₄,,5 mV/s,,322 F/g,,
1,73,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O terminations (LiCl-KCl-K₂CO₃ treatment),Molten salt treatment (LiCl-KCl-K₂CO₃) replacing –F with –O,,,,,,,,,1 mol/L H₂SO₄,,,1 A/g,323.6 F/g,,
1,74,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",Natural rubber template (3D porous MXene foam),,,,,,,,,1 mol/L H₂SO₄,,2 mV/s,,480 F/g,,
1,77,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",Wet spinning of sheared Ti₃C₂Tₓ sediments (ultradense fibers),,,,,,,,,1 mol/L H₂SO₄,,,,,1661 F/cm³,
1,80,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ + calcium alginate-derived carbon dots,Gelation of calcium alginate in MXene + annealing,,1.37 nm,,,,,,,3 mol/L H₂SO₄,,,,373 F/g,1245 F/cm³,2.73 F/cm²
1,81,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",N-Ti₃C₂Tₓ,"N-doped Ti₃C₂ (aerogel, 3D porous)",One-step hydrothermal (N-doping + 3D structure building),,,,,,,,,3 mol/L H₂SO₄,200.8 m²/g,,,531 F/g,,
1,83,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",V₂CTₓ,V₂C with surface terminations,NaF/HCl hydrothermal etching of V₂AlC,,,,,,,,,1 mol/L Na₂SO₄,,2 mV/s,100 mA/g,556.7 F/g,,
1,84,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Nb₂C/Ti₃C₂,Interconnected Nb₂C/Ti₃C₂ 2D/2D MXene heterointerface,One-step chemical etching (simultaneous growth),,,,,,,,,PVA/H₂SO₄ gel,,,2 A/g,584 F/g,,
1,85,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Mo₂Ti₂C₃,"Mo₂Ti₂C₃ MXene, layer spacing 2.4 nm",Etching + vacuum-assisted filtration,,2.4 nm,,,,,,,EMIMTFSI in acetonitrile,,,,152 F/g,,
1,86,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Mo₂CTₓ,Mo₂C with surface terminations,Hydrothermal etching,,,,,,,,,1 mol/L H₂SO₄,,,0.3 A/g,79.14 F/g,390.7 F/cm³,
1,87,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Mo₁.₃₃CTz,Mo₁.₃₃C with ordered Mo vacancies,Selective etching of in-plane ordered MAX phase,,,,,,,,,1 mol/L MnSO₄,,,,,677 F/cm³,
1,89,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Nb₄C₃Tₓ,Nb₄C₃ with large interlayer spacing,HF etching with adjusted etching time (nanopore introduction),,,,,,,,,1 mol/L H₂SO₄,,,,,1075 F/cm³,
1,93,10.1021/acsaem.2c00653,"2022, Prenger et al.",K-Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations; K⁺ pre-intercalated",HF/LiCl etching of Ti₃AlC₂ + KCl ion exchange,Multilayer,12.47 (pre-ann.); 12.06 (post-ann.),,,,,31–34,4.2–5.2,1 M H₂SO₄,,5,5,286,,1500
1,94,10.1021/acsaem.2c00653,"2022, Prenger et al.",K-Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations; K⁺ pre-intercalated",HF/LiCl etching of Ti₃AlC₂ + KCl ion exchange,Multilayer,12.47 (pre-ann.); 12.06 (post-ann.),,,,,70–77,10.2–13.4,1 M H₂SO₄,,5,5,286,,3700
1,95,10.1021/acsaem.2c00653,"2022, Prenger et al.",K-Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations; K⁺ pre-intercalated",HF/LiCl etching of Ti₃AlC₂ + KCl ion exchange,Multilayer,12.47 (pre-ann.); 12.06 (post-ann.),,,,,100–105,20.1,1 M H₂SO₄,,5,5,286,,5700
1,98,10.1021/acsaem.2c00653,"2022, Prenger et al.",Mg-Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations; Mg²⁺ pre-intercalated",HF/LiCl etching of Ti₃AlC₂ + MgCl₂ ion exchange,Multilayer,14.79 (pre-ann.); 14.47 (post-ann.),,,,,31–34,4.2–5.2,1 M H₂SO₄,,5,5,214,,
1,99,10.1021/acsaem.2c00653,"2022, Prenger et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations; no intercalant","HF/LiCl etching of Ti₃AlC₂ (pristine, no ion exchange)",Multilayer,13.25 (pre-ann.); 10.67 (post-ann.),,,,,31–34,4.2–5.2,1 M H₂SO₄,,5,5,187.5,,
1,101,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ with expanded interlayer via CTAB surfactant,HF etching + CTAB intercalation,,3.78 nm,,,,,,,1 M H₂SO₄,,5,,322,,
1,103,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,P-doped Ti₃C₂Tₓ with P-O and P-C bonds,Sodium hypophosphate annealing (P-doping),,,,,,,,,1 M H₂SO₄,,,,476.9,,
1,104,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"N-doped Ti₃C₂Tₓ aerogel, 3D porous structure",One-step hydrothermal N-doping + 3D aerogel formation,,,,,,,,,3 M H₂SO₄,200.8,,,531,,
1,105,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ultradense wet-spun Ti₃C₂Tₓ fibers (density 5.4 g cm⁻³),Wet spinning of sheared Ti₃C₂Tₓ sediments,,,,,,,,,1 M H₂SO₄,,,,,1661,
1,106,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Modified MXene/holey graphene film, –F/–OH terminals removed",Filtration of alkalized MXene + holey graphene oxide + mild annealing,,,,,,,,12.6,H₂SO₄,,2,,,1445,
1,107,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Compressed Ti₃C₂ from ionic liquid ([C4mim]Cl) viscous medium, 300 MPa",Ionic liquid-assisted mechanical exfoliation + compression,,,,28.2,,,150,,H₂SO₄,,,,304,,11.4
1,108,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",V₂CTₓ,V₂C MXene with high capacitance,NaF/HCl etching under hydrothermal conditions,,,,,,,,,1 M Na₂SO₄,,2,100,556.7,,
1,109,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Nb₂C/Ti₃C₂,Nb₂C/Ti₃C₂ 2D/2D MXene heterointerface,One-step chemical etching (simultaneous growth),,,,,,,,,PVA/H₂SO₄ gel,,,2,584,,
1,110,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Mo₂Ti₂C₃,Mo₂Ti₂C₃ free-standing film electrode,Etching + vacuum-assisted filtration,,2.4 nm,,,,,,,1 M EMIMTFSI in acetonitrile,,,,152,,
1,111,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Mo₁.₃₃CTz,Mo₁.₃₃CTz MXene with ordered Mo vacancies,Selective etching of in-plane chemically ordered MAX phase,,,,,,,,,1 M MnSO₄,,,,,677,
1,112,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",CoNi₂S₄/Ti₃C₂Tₓ,Sandwich-like CoNi₂S₄/Ti₃C₂Tₓ hetero-nanostructure,Hydrothermal reaction,,,,,,,,,6 M KOH,,,1,320 mAh g⁻¹,,
1,113,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",NiCoS/Ti₃C₂,2D hierarchical NiCoS on ultrathin Ti₃C₂ nanosheets,Co-precipitation + in situ sulfidation,,,,,,,,,KOH,,,1,759 C g⁻¹,,
1,114,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ/Ca-SA,3D cross-linked Ti₃C₂Tₓ and calcium-sodium alginate film,3D cross-linked film with enlarged interlayer spacing,,,,,,,,,H₂SO₄,,5,,,,633
1,115,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",K-Ti₃C₂Tₓ,K⁺ pre-intercalated multilayer Ti₃C₂Tₓ,Metal cation pre-intercalation (K⁺),Multilayer,,,,,,,,Aqueous,,,,300,,5700
1,116,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ/PANI,Ti₃C₂Tₓ/PANI composite films with tunable thickness,Physical mixing + suction filtration,,,,,,,,,H₂SO₄,,,1,272.5,,
1,117,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ/CAC,Ti₃C₂Tₓ/calcium alginate carbon dots film,Gelation of calcium alginate + annealing,,1.37 nm,,,,,,,H₂SO₄,,,,373,1245,
1,118,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ@chitosan,3D ordered porous Ti₃C₂Tₓ@chitosan film,Chitosan-supported self-assembly,,,,,,,,4,3 M H₂SO₄,,2000,,245.2,,
1,119,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,3D-printed MXene MSC from aqueous precipitation ink,3D printing (MXene aqueous precipitation ink),,,,,,,,,Quasi-solid-state,,,,,,2380
1,136,10.1002/smtd.202401751,"2025, Shinde & Pumera",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –O, –F terminations",Chemical solution,,,,,,,,,1 M H₂SO₄,,,2 A g⁻¹,612 F g⁻¹,,
1,167,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,MXene 'pearl layer' bioinspired layer-by-layer with SnS₂,MILD etching + layer-by-layer assembly,Few-layer,,,,,,,,1 mol/L H₂SO₄,,10,,190,,
1,169,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,MnO₂/Ti₃C₂Tₓ on activated carbon cloth (free-standing),Electrochemical deposition of MnO₂ on MXene/CC,Multilayer,,,,,,,,LiCl-PVA gel,,,1,411.5,,
1,170,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,PANI nanoparticles embedded in Ti₃C₂Tₓ interlayer,MILD etching + in-situ PANI deposition (functional ink),Few-layer,,,,,,4.8,,H₂SO₄,,,,,,
1,171,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂,Ti₃C₂ modified with amorphous FeOOH quantum dots,HF etching + electrostatic self-assembly,Few-layer,,,,,,,,Neutral electrolyte,,,,,,485
1,172,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,Ti₃C₂Tₓ as binder + activated carbon particles,MILD etching + vacuum-assisted filtration with AC,Few-layer,,,,,,,,Organic electrolyte,,,0.1,126,,
1,173,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,"Ti₃C₂Tₓ/rGO 3D porous film (20% rGO, self-propagation reduction)",MILD etching + GO addition + self-propagation reduction,Few-layer,,,,,,80.8,,3 mol/L H₂SO₄,,5,,329.9,,
1,176,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,MnO₂ nanorods + Ti₃C₂Tₓ on carbon cloth,MILD etching + hydrothermal MnO₂ growth on MXene/CC,Multilayer,,,,,,,,PVA gel,,,5,511.2,,
2,0,10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),12.56–12.84 Å (contracts on charging),,,,,25 ± 2 µm,4 mg cm⁻²,1M Li₂SO₄ (aqueous),,2 mV s⁻¹,,,~300 F cm⁻³ (E > −0.25 V); ~200 F cm⁻³ (E < −0.25 V),
2,1,10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),,,,,,25 ± 2 µm,4 mg cm⁻²,1M Na₂SO₄ (aqueous),,2 mV s⁻¹,,,,
2,2,10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),12.5–12.6 Å (minimal change),,,,,25 ± 2 µm,4 mg cm⁻²,0.5M K₂SO₄ (aqueous),,2 mV s⁻¹,,,,
2,3,10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),,,,,,25 ± 2 µm,4 mg cm⁻²,1M MgSO₄ (aqueous),,2 mV s⁻¹,,,,
2,4,10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,,,,,,1 M H₂SO₄,,5 mV s⁻¹,2 A g⁻¹,,1075 F cm⁻³,
2,5,10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,,,,,,1 M KOH,,5 mV s⁻¹,2 A g⁻¹,,687 F cm⁻³,
2,6,10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,,,,,,1 M MgSO₄,,5 mV s⁻¹,2 A g⁻¹,,506 F cm⁻³,
2,7,10.1002/advs.202100775,2021; Cheng et al.,Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O); derived from Ti₃AlC₂ MAX phase","HF-based etching of Ti₃AlC₂, then ultrasonication exfoliation to few-layer",Few-layer,13.82 Å,,,,,8.5 µm,,2 M Zn(CF₃SO₃)₂ – 0.1 M MnSO₄ / PAM hydrogel,,5 mV s⁻¹,1 mA cm⁻²,,,38 mF cm⁻²
