search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,121,10.1002/smtd.202500499,"2025, Kouchi et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O, –Cl terminations",MILD (LiF/HCl); LPE in NMP; solvent exchange to H₂O/EtOH/EG,Few-layer,1.23 nm,<400 nm lateral; <100 nm thickness,27%,,,1.25 µm (MXene only); 1.75 µm (Au+MXene),,3 M H₂SO₄/PVA gel (aqueous); also 1 M NaClO₄/PC (organic),,5 mV s⁻¹,10 µA,,"611 F cm⁻³ (gel); 535 F cm⁻³ (HR, gel); 169 F cm⁻³ (organic)","122 mF cm⁻² (gel); 67 mF cm⁻² (HR, gel); 47 mF cm⁻² (organic)"
1,122,10.1002/sus2.61,"2022, Chu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD etching (LiF/HCl); Ti₃AlC₂ MAX phase etched, then delaminated by ultrasonication",Single-layer / few-layer (delaminated),~12.8 Å,<1 µm,,,,,,1 M H₂SO₄ (three-electrode); PVA/H₂SO₄ gel (ASC device),,,1 A/g (three-electrode GCD),213.8 F/g,,
1,162,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl (MILD) etching + low-temperature annealing (<400°C, Ar)",Few-layer,,,,,,,,H₂SO₄,,,,429,,
1,166,10.1002/smm2.1130,"2023, Wang & Wang",Ti₃C₂Tₓ,"Ti₃C₂Tₓ film with layered porous carbon (HPC, 60%)",LiF/HCl etching + vacuum-assisted filtration with HPC,Few-layer,,,,,,,,H₂SO₄ gel,,,,,,211
1,177,ssrn.com/abstract=5211970,2025; Shi et al.,Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",MILD (LiF/HCl etching),Delaminated,1.48 nm,2-3 µm,,,,,1.0 mg cm-2,1 M H2SO4,,2 mV s-1,1 A g-1,281 F g-1,,
1,178,ssrn.com/abstract=5211970,2025; Shi et al.,Ti3C2Tx-Mn,"Ti3C2 with -OH, -F, =O terminations; Mn2+ intercalated via ion exchange","MILD (LiF/HCl etching) + KOH alkali pretreatment + Mn2+ ion exchange (manganese acetate, 40°C, 48 h)",Delaminated,1.35 nm,2-3 µm,,,,,1.0 mg cm-2,1 M H2SO4,,2 mV s-1,1 A g-1,298 F g-1,,
1,179,ssrn.com/abstract=5211970,2025; Shi et al.,a-Ti3C2Tx-Mn,"Ti3C2 with reduced -F, increased -O/-OH terminations; Mn2+ intercalated, Mn-O bonds confirmed by XPS","MILD (LiF/HCl etching) + KOH alkali pretreatment + Mn2+ ion exchange (manganese acetate, 40°C, 48 h) + annealing 400°C, Ar, 2 h",Delaminated,1.16 nm,2-3 µm,,,,,1.0 mg cm-2,1 M H2SO4,,2 mV s-1,1 A g-1,401 F g-1,,
2,15,10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + ultrasonication + vacuum filtration,Few-layer (delaminated),12.6 Å,,,,,4.47 ± 0.29 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,258.8 F g⁻¹,847.6 F cm⁻³,
2,16,10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,Ti₃C₂; partial termination removal post-annealing,LiF/HCl etching + ultrasonication + vacuum filtration + annealing 400 °C/2 h in Ar (no gelatin),Few-layer (delaminated),11.8 Å,,,,,3.17 ± 0.16 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,325.7 F g⁻¹,,
2,17,10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 3 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (3 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),~11.8 Å,,,,,3.47 ± 0.13 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,381.5 F g⁻¹,1347.0 F cm⁻³,
2,18,10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 5 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (5 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),13.4 Å,,,,,4.65 ± 0.04 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,396.4 F g⁻¹,1153.2 F cm⁻³,
2,19,10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 10 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (10 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),~13.7 Å (002 peak at 6.4°),,,,,4.66 ± 0.11 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,360.3 F g⁻¹,,
2,41,10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl etching of Ti₃AlC₂ MAX phase (MILD), 48 h at 40°C",Few-layer,1.33 nm (TEM); 2θ=7.5° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),16.3 m² g⁻¹,10 mV s⁻¹,1 A g⁻¹,294 F g⁻¹,,
2,42,10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 0.5 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,2θ=6.9° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,10 mV s⁻¹,1 A g⁻¹,74 F g⁻¹,,
2,43,10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 1 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,2θ=6.8° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,10 mV s⁻¹,1 A g⁻¹,105 F g⁻¹,,
2,44,10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 10 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,1.33 nm (TEM); 2θ=6.1° (XRD),Several µm,,,,~0.75 µm,,1 M H₂SO₄ (SC); 1 M KOH (HER),13.4 m² g⁻¹,10 mV s⁻¹,1 A g⁻¹,208 F g⁻¹,1540 F cm⁻³,
2,45,10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 15 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,,Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,,,151 F g⁻¹,,
2,107,10.1002/smsc.202500367,"2025, Li et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –F, =O, –OH terminations",MILD (LiF/HCl etching of Ti₃AlC₂),Multilayer,14.65–14.79 Å (0–1 V),,,,,~2 mm,~1–2 mg,1M H₂SO₄,<10 m² g⁻¹,,,>100 F g⁻¹,,
3,4,10.1016/j.jobab.2021.10.001,2022; Wei et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F terminations integrated with N,O-doped porous carbon microspheres (sandwich structure; HCS:Ti₃C₂Tₓ = 20:1 mass ratio)","MILD etching (LiF/HCl, 35°C, 24h) + ultrasonication (300W, 2h) + KOH activation at 800°C with carbon microsphere intercalation via electrostatic self-assembly",Single/few-layer,,,,,,,~0.02 mg (4 mg/1000 µL; 5 µL on GCE),1 mol/L H₂SO₄ (3-electrode); 1 mol/L Na₂SO₄ (2-electrode),1649 m² g⁻¹,5 mV s⁻¹,0.5 A g⁻¹,362 F g⁻¹ at 0.5 A g⁻¹ (3-electrode); 194.5 F g⁻¹ at 1 A g⁻¹ (2-electrode),,
3,5,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,200 µm,2.1 mg cm-2,0.5 M H2SO4,,100 mV s-1,20 A g-1,~280 F g-1 (at 100 mV s-1),,
3,6,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,200 µm,3.2 mg cm-2,0.5 M H2SO4,,100 mV s-1,20 A g-1,~260 F g-1 (100 mV s-1); 210 F g-1 (200 mV s-1),140 F cm-3 (at 200 mV s-1),~1.4 F cm-2 (at 200 mV s-1)
3,7,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,200 µm,4.4 mg cm-2,0.5 M H2SO4,,100 mV s-1,20 A g-1,~255 F g-1 (at 100 mV s-1),,
3,8,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,200 µm,5.8 mg cm-2,0.5 M H2SO4,,100 mV s-1,20 A g-1,"~250 F g-1 (100 mV s-1); 261 F g-1 (20 A g-1, long-term GCD)",,
3,9,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,200 µm,7.2 mg cm-2,0.5 M H2SO4,,100 mV s-1,20 A g-1,~230 F g-1 (at 100 mV s-1),,
3,10,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared,,,2000 µm,3.3 mg cm-2,0.5 M H2SO4,,,,,"~5 F cm-3 (as-prepared, uncompressed)",
3,11,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,500 µm,3.3 mg cm-2,0.5 M H2SO4,,,,,,
3,12,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,100 µm,3.2 mg cm-2,0.5 M H2SO4,,500 mV s-1,,93% retention at 500 mV s-1 vs max; absolute value not explicitly stated,,
3,13,10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),,,,50 µm,3.2 mg cm-2,0.5 M H2SO4,,5 mV s-1,5 A g-1,"100 F g-1 (symmetric device, 5 mV s-1, total mass of both electrodes)",180 F cm-3 (at 50 mV s-1),
3,14,10.1002/adma.201902725,"2019, Yang et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F surface terminations","MILD etching (LiF/HCl, in-situ HF); water/Li+ intercalation delamination; no sonication","Few-layer, 1-3 nm thick",,"8 ± 2.7 µm (mean lateral size, from SEM)",,"0.8-9 nm (mesoporous, DFT from N2 adsorption); macropores 3-35 µm (SEM)",,,8.5 mg cm-2,PVA/H2SO4 (solid-state),"177 m2 g-1 (3D printed, BET); 100 m2 g-1 (vacuum-dried 2D flakes)",5 mV s-1,0.2 A g-1,242.5 F g-1 at 0.2 A g-1,,2100 mF cm-2 (2.1 F cm-2) at 1.7 mA cm-2
3,15,10.1021/acsaem.9b01654,2020; Bayram et al.,Ti₃C₂Tₓ,Ti₃C₂ with –O and –F surface terminations,"MILD etching (LiF/HCl, 40 °C, 24 h) of Ti₃AlC₂; freeze-casting of additive-free aqueous suspension; freeze-drying",1–18 atomic layers per lamellae wall (ADF-STEM),"12.9 Å (XRD 002 peak, aerogel)",0.5–5 µm lateral; ~4 nm thick,>99%,32–53 µm lamellae spacing (avg ~51 µm at 13 mg cm⁻³),,"~10 mm (bulk aerogel, density 7–43 mg cm⁻³)",,3 M H₂SO₄ (aqueous),,2 mV s⁻¹,,380 F g⁻¹ @ 2 mV s⁻¹; 75 F g⁻¹ @ 50 mV s⁻¹,~3 F cm⁻³ @ 50 mV s⁻¹ (density 13 mg cm⁻³),
3,16,10.1021/acsaem.9b01654,2020; Bayram et al.,Ti₃C₂Tₓ,Ti₃C₂ with –O and –F surface terminations,"MILD etching (LiF/HCl, 40 °C, 24 h) of Ti₃AlC₂; freeze-casting; freeze-drying; uniaxial pressing between PMMA plates","1–18 atomic layers (same walls, compressed)",,0.5–5 µm lateral; ~4 nm thick,,Reduced to few µm upon pressing; spacing not individually quantified,,"50 µm (P-MA0.05, best performer; range 0.05–1 mm)",,3 M H₂SO₄ (aqueous),,10 mV s⁻¹,,149.5 F g⁻¹ @ 10 mV s⁻¹ (P-MA0.05; density 1270 mg cm⁻³),62.3 F cm⁻³ @ 10 mV s⁻¹ (P-MA0.05),
3,17,10.1021/acsaem.9b01654,2020; Bayram et al.,Ti₃C₂Tₓ,Ti₃C₂ with –O and –F surface terminations,"MILD etching (LiF/HCl, 40 °C, 24 h) of Ti₃AlC₂; freeze-casting; freeze-drying; pressing then calendering via rolling machine",1–18 atomic layers (preserved by rolling),,0.5–5 µm lateral; ~4 nm thick,,~1 ± 0.6 µm lamellae spacing,,60 µm,,3 M H₂SO₄ (aqueous),,10 mV s⁻¹,,315 F g⁻¹ @ 10 mV s⁻¹,323 F cm⁻³ @ 10 mV s⁻¹ (density 1030 mg cm⁻³),
3,18,10.1021/acsaem.9b01654,2020; Bayram et al.,Ti₃C₂Tₓ,Ti₃C₂ with –O and –F surface terminations,"MILD etching (LiF/HCl, 40 °C, 24 h) of Ti₃AlC₂; freeze-casting; freeze-drying; rolling of a vertical slice of MA directly (less compacted route)",1–18 atomic layers (preserved by rolling),,0.5–5 µm lateral; ~4 nm thick,,,,60 µm,,3 M H₂SO₄ (aqueous),,50 mV s⁻¹,,309 F g⁻¹ @ 50 mV s⁻¹,,
3,30,10.1002/celc.202100558,"2021, Abdolhosseinzadeh et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F terminations","MILD (LiF/HCl etching), 24h RT",Single/few-layer (delaminated),,Large lateral size (not quantified),"~0% (pristine, no urea)","10-70 nm (mesoporous, BJH)",,,,H2SO4-PVA gel,10.5 m2/g,5 mV/s,0.35-5 mA/cm2,153 F/g,,193 mF/cm2
3,31,10.1002/celc.202100558,"2021, Abdolhosseinzadeh et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F terminations",MILD (LiF/HCl etching) + 3.5 wt% urea space-holder,Single/few-layer (delaminated),,Large lateral size (not quantified),,"10-70 nm (mesoporous, BJH)",,,,H2SO4-PVA gel,24.3 m2/g,5 mV/s,0.35-5 mA/cm2,,,
3,32,10.1002/celc.202100558,"2021, Abdolhosseinzadeh et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F terminations",MILD (LiF/HCl etching) + 4.5 wt% urea space-holder,Single/few-layer (delaminated),,Large lateral size (not quantified),~72% (optimum),"10-70 nm (mesoporous, BJH)",,,,H2SO4-PVA gel,62.1 m2/g,5 mV/s,0.35-5 mA/cm2,192 F/g,,241 mF/cm2
3,33,10.1002/celc.202100558,"2021, Abdolhosseinzadeh et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F terminations",MILD (LiF/HCl etching) + 6.5 wt% urea space-holder,Single/few-layer (delaminated),,Large lateral size (not quantified),~80% (maximum),"10-70 nm (mesoporous, BJH)",,,,H2SO4-PVA gel,95.6 m2/g,5 mV/s,0.35-5 mA/cm2,110 F/g,,138 mF/cm2
3,34,10.1039/d6ta00010j,2026; Zhao et al.,Ti3C2Tx,"Ti3C2 with -F, -O, -OH surface terminations","LiF/HCl selective etching (MILD); 2g LiF in 40 mL 6M HCl; 45°C, 72 h; ultrasonication + centrifugation at 3500 rpm",Few-layer / delaminated,,<1 µm,,,,5.3 µm,,"1 M H2SO4 (liquid, conventional two-electrode)",4.79 m² g⁻¹,,,,,
3,35,10.1039/d6ta00010j,2026; Zhao et al.,Ti3C2Tx,"Ti3C2 with -F, -O, -OH; partially reduced by hydrazine; N incorporated (XPS 400.7 eV); C/O ratio 1.72, Ti/O ratio 1.19","LiF/HCl etching + vacuum filtration + hydrazine foaming (5 µL cm⁻², 90°C, 3 h); no PVA",Few-layer; 3D porous foam,,<1 µm,,,,129.1 µm (~24.3× expansion from 5.3 µm film),,"1 M H2SO4 (liquid, conventional two-electrode)",7.42 m² g⁻¹,5 mV s⁻¹ (highest Cg among MHx series),0.5 A g⁻¹,Highest among MHx (exact value not stated in main text),,
3,36,10.1039/d6ta00010j,2026; Zhao et al.,Ti3C2Tx,"Ti3C2Tx with PVA (10 wt%) intercalated; -OH FTIR peak redshifted to 3432 cm⁻¹ confirming H-bonding; C/O 2.26, Ti/O 0.92",LiF/HCl etching + vacuum filtration with 10 wt% PVA; compact layered film (no foaming),Compact layered; PVA inserted between sheets; (002) peak shifted to lower angle vs. MXene film,Increased vs. MXene film (PVA intercalation); exact value in SI Fig. S9,<1 µm,,,,4.8 µm,,"1 M H2SO4 (liquid, conventional two-electrode)",,5 mV s⁻¹,0.5 A g⁻¹,Slightly enhanced vs. MXene film (exact value not stated in main text),,
3,37,10.1039/d6ta00010j,2026; Zhao et al.,Ti3C2Tx,"Ti3C2Tx with PVA (10 wt%); -OH FTIR peak at 3430 cm⁻¹; N incorporated (XPS 400.7 eV); C/O 3.28, Ti/O 1.21; water contact angle 87.3°","LiF/HCl etching + vacuum filtration with 10 wt% PVA + hydrazine foaming (5 µL cm⁻², 90°C, 3 h)",Few-layer; 3D cross-linked porous foam; macropores >2 µm,Decreased vs. MP10 after foaming (higher-angle (002) shift); exact value in SI Fig. S9,<1 µm,,>2 µm (macropores between parallel MXene layers),,121.8 µm (~25.4× expansion from 4.8 µm MP10 film),1.1 mg cm⁻²,PVA/H2SO4 gel (flexible device); 1 M H2SO4 liquid (conventional); 2 M H2SO4 per Table 1,~4.79 m² g⁻¹ (minor difference from MXene film; BET insensitive to macropores),2 mV s⁻¹ (flexible device); 5 mV s⁻¹ (conventional),2.0 A g⁻¹ (cycle stability test),240.77 F g⁻¹ at 2 mV s⁻¹ (flexible); 237.40 F g⁻¹ at 5 mV s⁻¹ (conventional),"44.06 F cm⁻³ (flexible, single electrode); 43.44 F cm⁻³ (conventional)","264.84 mF cm⁻² (single electrode, flexible device); 261.14 mF cm⁻² (single electrode, conventional); 66.21 mF cm⁻² (full device level, as stated in abstract)"
3,45,10.1002/smll.202202203,"2022, Lv & Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with -O, -OH, -F terminations",LiF/HCl etching of Ti₃AlC₂ MAX phase; probe sonication in ice bath,Monolayer (~1.7 nm thick),"13.4 Å (XRD (002) at 6.3°, pure film)",300–500 nm (SEM),,,,,~0.16 mg (1×1 mm electrode),1 M H₂SO₄ (aqueous),,2 mV s⁻¹,,376 F g⁻¹ at 2 mV s⁻¹; 75.5 F g⁻¹ at 1000 mV s⁻¹,925 F cm⁻³ at 2 mV s⁻¹; 176 F cm⁻³ at 1000 mV s⁻¹,
