source_file,source_path,doi,year,authors,electrode_label,role,is_primary,mxene_formula,mxene_formula__unit,mxene_formula__conf,composition,composition__unit,composition__conf,synthesis_method,synthesis_method__unit,synthesis_method__conf,layer_no,layer_no__unit,layer_no__conf,interlayer_spacing,interlayer_spacing__unit,interlayer_spacing__conf,flake_size,flake_size__unit,flake_size__conf,porosity,porosity__unit,porosity__conf,pore_diameter,pore_diameter__unit,pore_diameter__conf,tortuosity,tortuosity__unit,tortuosity__conf,electrode_thickness,electrode_thickness__unit,electrode_thickness__conf,mass_loading,mass_loading__unit,mass_loading__conf,electrolyte,electrolyte__unit,electrolyte__conf,ssa,ssa__unit,ssa__conf,scan_rate,scan_rate__unit,scan_rate__conf,current_density,current_density__unit,current_density__conf,gravimetric_capacitance,gravimetric_capacitance__unit,gravimetric_capacitance__conf,volumetric_capacitance,volumetric_capacitance__unit,volumetric_capacitance__conf,areal_capacitance,areal_capacitance__unit,areal_capacitance__conf
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene/CNF/PANI,primary,True,Ti3C2Tx,,stated,Ti3C2Tx/CNF/PANI (CNF:MXene:PANI = 1:4:4),,stated,"LiF/HCl (MILD) etching, in situ polymerization, and vacuum filtration",,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,1,mA cm−2,stated,356,F g−1,stated,,,stated,2935,mF cm−2,stated
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,CNF/PANI,reference,False,,,stated,CNF/PANI (1:4),,uncertain,in situ polymerization,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0169433219330661-main.pdf,1-s2.0-S0169433219330661-main.pdf,10.1016/j.apsusc.2019.144250,2020,Fu et al.,Ti3C2Tx film,primary,True,Ti3C2Tx,,stated,"Ti3C2Tx (T = O, OH, F)",,stated,LiF/HCl etching followed by mechanical sonication and vacuum filtration,,stated,delaminated,,stated,12.54,Å,stated,200–1000,nm,stated,,,stated,,,stated,,,stated,4.6,μm,stated,,,uncertain,3 M H2SO4 + 0.3 M KI,,stated,,,stated,,,stated,1,A g−1,stated,166,F g−1,stated,601,F cm−3,stated,,,stated
1-s2.0-S0272884220315613-main.pdf,1-s2.0-S0272884220315613-main.pdf,10.1016/j.ceramint.2020.05.247,2020,Tianze Zhang et al.,Ti3C2Tx film,control,False,Ti3C2Tx,,stated,Ti3C2Tx film,,stated,"LiF/HCl selective etching of Ti3AlC2, followed by delamination and vacuum filtration",,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1.35,mg cm−2,stated,1 M H2SO4,,stated,,,stated,2,mV s−1,stated,,,stated,234,F g−1,stated,,,stated,,,stated
1-s2.0-S0272884220315613-main.pdf,1-s2.0-S0272884220315613-main.pdf,10.1016/j.ceramint.2020.05.247,2020,Tianze Zhang et al.,N–Ti3C2Tx film,primary,True,Ti3C2Tx,,stated,N-doped Ti3C2Tx film (N–Ti3C2Tx); N 4.58 atomic %,,stated,"LiF/HCl selective etching of Ti3AlC2, followed by hydrazine-hydrate treatment at 75 °C for 15 h and vacuum filtration",,stated,orderly stacked layers,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,approximately 5,μm,stated,1.35,mg cm−2,stated,1 M H2SO4,,stated,,,stated,2,mV s−1,stated,,,stated,340,F g−1,stated,,,stated,,,stated
1-s2.0-S0925838821027134-main.pdf,1-s2.0-S0925838821027134-main.pdf,10.1016/j.jallcom.2021.161304,2021,Lee et al.,pristine Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl (MILD) etching and exfoliation,,stated,,,stated,,,uncertain,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,14,m2/g,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838821027134-main.pdf,1-s2.0-S0925838821027134-main.pdf,10.1016/j.jallcom.2021.161304,2021,Lee et al.,C-MXene,variant,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,"LiF/HCl (MILD) etching, exfoliation, and H2SO4-induced flocculation",,stated,,,stated,,,uncertain,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838821027134-main.pdf,1-s2.0-S0925838821027134-main.pdf,10.1016/j.jallcom.2021.161304,2021,Lee et al.,OC-MXene,primary,True,Ti3C2Tx,,stated,oxidized-co-crumpled Ti3C2Tx,,stated,"LiF/HCl (MILD) etching, exfoliation, H2O2 partial oxidation, and H2SO4-induced flocculation",,stated,,,stated,,,uncertain,,,stated,,,stated,2–20,nm,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,72,m2/g,stated,2,mV/s,stated,,,stated,307,F/g,stated,,,stated,,,stated
1-s2.0-S0925838821027134-main.pdf,1-s2.0-S0925838821027134-main.pdf,10.1016/j.jallcom.2021.161304,2021,Lee et al.,OO-MXene,variant,False,Ti3C2Tx,,stated,over-oxidized Ti3C2Tx (TiO2 particles and carbide agglomerates),,stated,"LiF/HCl (MILD) etching, exfoliation, excessive H2O2 oxidation, and H2SO4-induced flocculation",,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,178,m2/g,stated,2,mV/s,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,original Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx (-O/-OH/-F surface groups),,stated,"LiF/HCl etching of Ti3AlC2, delamination, and vacuum filtration",,derived,few-layer or single-layer,,stated,,,stated,500 nm to 1.5 µm,nm–µm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,C-0.05,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.05 M H2O2 oxidation for 40 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,C-0.1 (T-40),primary,True,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.1 M H2O2 oxidation for 40 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,3,nm,stated,,,stated,,,stated,,,derived,1 M H2SO4,,derived,48.3,m2/g,stated,,,stated,1,A/g,stated,385,F/g,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,C-0.15,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.15 M H2O2 oxidation for 40 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,C-0.2,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.2 M H2O2 oxidation for 40 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,T-20,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.1 M H2O2 oxidation for 20 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,42.5,m2/g,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,T-30,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.1 M H2O2 oxidation for 30 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,46.3,m2/g,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,T-60,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.1 M H2O2 oxidation for 60 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,77.7,m2/g,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838822030389-main.pdf,1-s2.0-S0925838822030389-main.pdf,10.1016/j.jallcom.2022.166647,2022,Guozhen Guan et al.,T-80,variant,False,Ti3C2Tx,,stated,porous Ti3C2Tx,,stated,"LiF/HCl-etched Ti3C2Tx; 0.1 M H2O2 oxidation for 80 min, followed by 3 M HCl etching and vacuum filtration",,stated,few-layer or single-layer,,derived,,,stated,,,stated,,,stated,,,uncertain,,,stated,,,stated,,,derived,1 M H2SO4,,derived,79.8,m2/g,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0925838823046583-main.pdf,1-s2.0-S0925838823046583-main.pdf,10.1016/j.jallcom.2023.173355,2024,Yangyang Luo et al.,pure Ti3C2,control,False,Ti3C2Tx,,stated,"Ti3C2Tx with -OH, -O and -F terminations",,stated,LiF/HCl etching followed by ultrasonication delamination,,stated,single/few-layer,,stated,1.26,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3 M H2SO4,,derived,,,stated,2,mV s-1,stated,,,stated,489.3,F g-1,stated,2064.3,F cm-3,stated,,,stated
1-s2.0-S0925838823046583-main.pdf,1-s2.0-S0925838823046583-main.pdf,10.1016/j.jallcom.2023.173355,2024,Yangyang Luo et al.,0.5 N-Ti3C2,variant,False,N-Ti3C2,,stated,N-doped Ti3C2Tx,,stated,"LiF/HCl etching, delamination, then urea solvothermal treatment",,stated,single/few-layer,,derived,1.34,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3 M H2SO4,,derived,,,stated,2,mV s-1,stated,,,stated,,,stated,2086.2,F cm-3,stated,,,stated
1-s2.0-S0925838823046583-main.pdf,1-s2.0-S0925838823046583-main.pdf,10.1016/j.jallcom.2023.173355,2024,Yangyang Luo et al.,1.5 N-Ti3C2,variant,False,N-Ti3C2,,stated,N-doped Ti3C2Tx,,stated,"LiF/HCl etching, delamination, then urea solvothermal treatment",,stated,single/few-layer,,derived,1.34,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3 M H2SO4,,derived,,,stated,2,mV s-1,stated,,,stated,,,stated,1820.5,F cm-3,stated,,,stated
1-s2.0-S0925838823046583-main.pdf,1-s2.0-S0925838823046583-main.pdf,10.1016/j.jallcom.2023.173355,2024,Yangyang Luo et al.,2.0 N-Ti3C2,primary,True,N-Ti3C2,,stated,N-doped Ti3C2Tx,,stated,"LiF/HCl etching, delamination, then urea solvothermal treatment",,stated,single/few-layer,,derived,1.27,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3 M H2SO4,,stated,,,stated,2,mV s-1,stated,,,stated,1609.5,F g-1,stated,2898.5,F cm-3,stated,,,stated
1-s2.0-S0925838823046583-main.pdf,1-s2.0-S0925838823046583-main.pdf,10.1016/j.jallcom.2023.173355,2024,Yangyang Luo et al.,3.0 N-Ti3C2,variant,False,N-Ti3C2,,stated,N-doped Ti3C2Tx,,stated,"LiF/HCl etching, delamination, then urea solvothermal treatment",,stated,single/few-layer,,derived,1.38,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1385894724087011-main.pdf,1-s2.0-S1385894724087011-main.pdf,10.1016/j.cej.2024.157210,2024,Wei Zheng et al.,TC,control,False,Ti3C2Tz,,stated,Ti3C2Tz,,stated,"HCl/HF etching, LiCl intercalation, and sonication",,stated,delaminated,,stated,,,stated,500–600,nm,stated,,,stated,,,stated,,,stated,,,stated,~1.7,mg cm−2,derived,3 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1385894724087011-main.pdf,1-s2.0-S1385894724087011-main.pdf,10.1016/j.cej.2024.157210,2024,Wei Zheng et al.,HTC,variant,False,Ti3C2Tz,,stated,Ti3C2Tz with TiOx nanoparticles,,stated,Hydrothermal treatment without urea,,stated,delaminated,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,~1.7,mg cm−2,derived,3 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1385894724087011-main.pdf,1-s2.0-S1385894724087011-main.pdf,10.1016/j.cej.2024.157210,2024,Wei Zheng et al.,PTC,variant,False,Ti3C2Tz,,stated,porous Ti3C2Tz with TiOx,,stated,Hydrothermal treatment without urea followed by 10% HF post-etching,,derived,delaminated,,derived,,,stated,,,stated,,,stated,~100,nm,stated,,,stated,,,stated,~1.7,mg cm−2,derived,3 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1385894724087011-main.pdf,1-s2.0-S1385894724087011-main.pdf,10.1016/j.cej.2024.157210,2024,Wei Zheng et al.,NTC,variant,False,Ti3C2Tz,,stated,nitrogen-doped Ti3C2Tz,,stated,Urea-assisted hydrothermal nitrogen doping,,stated,delaminated,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,~1.7,mg cm−2,derived,3 M H2SO4,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1385894724087011-main.pdf,1-s2.0-S1385894724087011-main.pdf,10.1016/j.cej.2024.157210,2024,Wei Zheng et al.,PNTC,primary,True,Ti3C2Tz,,stated,porous nitrogen-doped Ti3C2Tz nanomesh with Ti-N-O/Ti-N-OH terminations,,stated,Urea-assisted hydrothermal nitrogen doping followed by 10% HF post-etching,,stated,delaminated,,derived,,,stated,,,stated,,,stated,~40,nm,stated,,,stated,,,stated,~1.7,mg cm−2,derived,3 M H2SO4,,derived,,,stated,,,stated,1,A g−1,stated,700,F g−1,stated,2023,F cm−3,stated,,,stated
1-s2.0-S1388248114002896-main.pdf,1-s2.0-S1388248114002896-main.pdf,10.1016/j.elecom.2014.09.002,2014,Dall'Agnese et al.,Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx (-F and -OH/=O terminations),,stated,Selective etching of Ti3AlC2 MAX phase,,stated,multilayer,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,50–70,μm,derived,,,stated,1 M H2SO4,,derived,23,m2·g−1,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1388248114002896-main.pdf,1-s2.0-S1388248114002896-main.pdf,10.1016/j.elecom.2014.09.002,2014,Dall'Agnese et al.,KOH–Ti3C2,variant,False,Ti3C2Tx,,stated,KOH–Ti3C2; Ti3C2Tx with oxygen-containing groups,,stated,KOH intercalation treatment,,stated,multilayer,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,50–70,μm,derived,,,stated,1 M H2SO4,,derived,23,m2·g−1,derived,,,stated,5,A·g−1,stated,,,stated,215,F·cm−3,stated,,,stated
1-s2.0-S1388248114002896-main.pdf,1-s2.0-S1388248114002896-main.pdf,10.1016/j.elecom.2014.09.002,2014,Dall'Agnese et al.,KOAc–Ti3C2,variant,False,Ti3C2Tx,,stated,KOAc–Ti3C2; Ti3C2Tx with oxygen-containing groups,,stated,KOAc intercalation treatment,,stated,multilayer,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,50–70,μm,derived,,,stated,1 M H2SO4,,derived,23,m2·g−1,derived,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S1388248114002896-main.pdf,1-s2.0-S1388248114002896-main.pdf,10.1016/j.elecom.2014.09.002,2014,Dall'Agnese et al.,d-Ti3C2,primary,True,Ti3C2Tx,,stated,d-Ti3C2; delaminated Ti3C2Tx with oxygen-containing groups,,stated,DMSO intercalation and delamination,,stated,delaminated,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,8,μm,stated,,,stated,1 M H2SO4,,derived,98,m2·g−1,stated,2,mV·s−1,stated,,,stated,325,F·g−1,stated,520,F·cm−3,stated,,,stated
1-s2.0-S2211285517303634-main.pdf,1-s2.0-S2211285517303634-main.pdf,10.1016/j.nanoen.2017.06.009,2017,Wen et al.,Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx (-OH and/or -F terminations),,stated,HF etching,,stated,multilayered,,stated,0.96,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3–4,mg cm−2,derived,1 M MgSO4,,stated,,,stated,1,mV s−1,stated,,,stated,52,F g−1,stated,,,stated,,,stated
1-s2.0-S2211285517303634-main.pdf,1-s2.0-S2211285517303634-main.pdf,10.1016/j.nanoen.2017.06.009,2017,Wen et al.,N-Ti3C2Tx-200 °C,primary,True,N-Ti3C2Tx,,stated,N-doped Ti3C2Tx,,stated,Post-etch ammonia annealing,,stated,multilayered,,stated,1.23,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3–4,mg cm−2,derived,1 M H2SO4,,stated,,,stated,1,mV s−1,stated,,,stated,192,F g−1,stated,,,stated,,,stated
1-s2.0-S2211285517303634-main.pdf,1-s2.0-S2211285517303634-main.pdf,10.1016/j.nanoen.2017.06.009,2017,Wen et al.,N-Ti3C2Tx-300 °C,variant,False,N-Ti3C2Tx,,stated,N-doped Ti3C2Tx,,stated,Post-etch ammonia annealing,,stated,multilayered,,stated,1.21,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3–4,mg cm−2,derived,1 M H2SO4,,stated,,,stated,1,mV s−1,stated,,,stated,45,F g−1,stated,,,stated,,,stated
1-s2.0-S2211285517303634-main.pdf,1-s2.0-S2211285517303634-main.pdf,10.1016/j.nanoen.2017.06.009,2017,Wen et al.,N-Ti3C2Tx-500 °C,variant,False,N-Ti3C2Tx,,stated,N-doped Ti3C2Tx,,stated,Post-etch ammonia annealing,,stated,multilayered,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,3–4,mg cm−2,derived,1 M H2SO4,,stated,,,stated,1,mV s−1,stated,,,stated,20,F g−1,stated,,,stated,,,stated
