paper_id,target_cap_F_g,interlayer_A,scan_rate_mV_s,current_density_A_g,mass_loading_mg_cm2,electrode_thickness_um,ssa_m2_g,flake_size_um,pore_diameter_nm,h2so4_M,layer_class___missing__,layer_class_delaminated,layer_class_multilayer,layer_class_single_or_few_layer,composition_family_doped_mxene,composition_family_mxene_carbon_composite,composition_family_mxene_inorganic_composite,composition_family_mxene_polymer_composite,composition_family_pristine_mxene,composition_family_structured_pristine_mxene,electrolyte_is_gel_False,electrolyte_is_gel_True
10.1016/j.apmt.2019.06.013,414.0,16.141903,30.255888,6.9776487,4.9257836,10.799584,21.075888,0.029472455,-0.77927244,30.915588,2.186082,-1.1342089,0.28210807,6.6208963,-6.326325,0.028812107,0.0,1.2503835,-9.331914,0.034246273,1.8118417,0.9321814
10.1016/j.jobab.2021.10.001,362.0,-11.806706,17.256369,5.7031054,3.496304,4.148482,35.45264,0.10135442,-0.86007303,-22.010668,1.6741489,-1.2943498,0.33331358,5.814826,-6.6247597,1.585728,0.0,1.785974,8.730449,-0.7467639,1.7817422,0.79598725
10.1016/j.ensm.2023.103148,280.0,22.738657,-21.96094,-2.4553595,2.8826623,0.9192121,-3.7126667,-0.61994493,-0.703595,-6.9433136,0.98652846,4.2836766,0.404188,-2.733633,-7.079458,-0.69002074,0.0,0.00832561,-7.8350906,-0.40163088,1.5912707,0.77280456
10.1016/j.ensm.2023.103148,292.0,17.386976,-4.7714667,-2.4316995,1.6378502,-0.92172104,-3.4850287,-0.18317637,-0.74585605,-11.680818,1.0758419,4.444981,0.37064278,-2.87458,-6.979876,-0.62756675,0.0,0.054107442,-7.428195,-0.50288266,1.6145151,0.7872717
10.1016/j.ensm.2023.103148,289.0,17.580597,-4.445184,-2.4316995,1.4916404,-1.0496323,-3.4850287,-0.15112641,-0.74585605,-11.452461,1.0758419,4.418122,0.37064278,-2.91495,-6.993593,-0.64770246,0.0,0.054107442,-7.7484827,-0.50288266,1.6145151,0.7872717
10.1016/j.ensm.2023.103148,300.0,17.536736,-4.7713428,-2.4316995,1.4916404,-0.51585877,-3.4850287,-0.15265971,-0.7530762,-11.557383,1.0758419,4.418122,0.37064278,-2.91495,-6.990045,-0.64770246,0.0,0.054107442,-7.802108,-0.50288266,1.6145151,0.7872717
10.1016/j.ensm.2023.103148,277.0,17.299747,-4.6858573,-2.7330902,1.0687143,-5.66018,-3.6523032,-0.15265971,-0.7530762,-11.675786,1.0657561,4.418122,0.37064278,-2.901703,-7.01228,-0.6703067,0.0,0.037208714,-8.152656,-0.50288266,1.6062977,0.7872717
10.1016/j.ensm.2023.103148,100.0,15.771077,-5.501093,-2.8757153,-0.14920953,-13.866357,-4.1534095,-0.11220389,-0.7530762,-12.753381,1.0657561,4.05919,0.37064278,-3.2430553,-7.025718,-0.6703067,0.0,-0.22248542,-8.183773,-0.51038027,1.5897081,0.7872717
10.1016/j.ensm.2023.103148,286.0,17.224398,-4.879843,-2.565272,0.48720583,-0.40124846,-3.4694114,-0.15143487,-0.7530762,-12.028807,1.1132207,4.4946413,0.37064278,-2.91495,-7.013649,-0.64770246,0.0,0.054107442,-7.891775,-0.50288266,1.5137181,0.7872717
10.1016/j.ensm.2023.103148,261.0,16.407274,10.676423,0.1652483,-0.677923,-4.9161468,-4.653277,-0.23071092,-0.8085861,-14.671724,1.1312368,5.125379,0.49577647,-3.839275,-6.912567,-0.4764185,0.0,0.14556393,-6.489609,-0.70495075,1.4204414,0.73476297
10.1016/j.ensm.2023.103148,240.0,20.870384,-20.356712,-2.706,-3.0375993,0.39508915,-3.8011258,-0.6187201,-0.703595,-7.7807145,1.0268811,4.102101,0.29183763,-2.8731246,-7.122195,-0.71976006,0.0,0.00832561,-7.9733133,-0.40163088,1.481663,0.7678022
10.1002/batt.201800014,234.0,-0.14615996,12.930029,-2.1663818,-1.2527962,-5.4563537,-5.118128,-0.16553897,-0.7742145,-22.967854,1.2407967,-2.740456,0.33577955,3.5350225,-7.0276036,-0.5026912,0.0,0.753061,-11.114404,-0.7608853,1.4567384,0.7582045
10.1002/adma.201701264,330.2,7.704208,20.711811,-4.144147,1.6756867,7.8323007,12.360153,-0.044723418,-0.7420283,28.950964,2.8155446,2.8891692,0.17519355,-5.468728,-6.5752096,-0.11656453,0.0,0.7422098,-6.335713,-0.07768587,1.8228633,0.98957115
10.1002/adma.201701264,308.0,-15.114864,20.011877,-1.7967403,1.087332,6.3466325,-0.17177716,0.54778504,-0.64437306,39.193237,-7.908824,-1.4796299,0.14175913,-10.211644,-6.7428117,2.0721898,0.0,0.7978329,10.320425,-0.72254044,1.597044,0.9562541
10.1002/adma.201701264,335.4,-17.284573,18.286201,-4.0413017,2.1509762,4.7906847,14.346213,0.30393738,-0.69499916,28.61192,-7.874276,-1.2310442,0.10450317,-9.24327,-6.6476493,1.7041874,0.0,0.8351941,9.516017,-0.22792394,1.7800792,0.9501649
10.1002/adma.201701264,329.9,-17.039186,19.773546,-1.7967403,0.99558556,6.4023705,-0.1562945,0.40867543,-0.64437306,38.765938,-7.908824,-1.5492328,0.14175913,-10.054483,-6.7570167,2.0721898,0.0,0.7414299,10.28818,-0.73342943,1.5834627,0.9430761
10.1021/acsnano.9b10066,140.0,-13.283952,5.5662465,1.6353282,-3.8199224,-8.138025,-7.6390653,0.00685234,-0.7868288,-29.118486,1.148732,-2.3402147,0.35671145,3.7152796,-6.9849916,1.2108968,0.0,0.44286275,5.871862,-1.449439,1.4097569,0.72271943
10.1002/adma.202304757,7.26,-17.602905,-40.962093,-2.2882729,-4.7054896,-13.793068,-2.8541038,-7.4902487,-3.3491738,12.187969,1.1126931,1.4061047,0.12243387,-6.695055,-7.5265036,-1.2318887,0.0,0.18106855,7.529488,-0.7686982,-26.115648,-13.775953
10.1021/acsanm.4c01912,390.0,7.6968446,20.794205,10.725358,1.8124237,4.2631555,33.97988,-0.18614084,-0.91564864,-17.757175,1.7388799,-1.8527532,0.39664984,4.048188,-6.6002746,-0.4129143,0.0,1.2508508,-4.0124297,-0.18565196,1.7034571,0.8267676
10.1002/adma.201504705,245.0,-0.8446045,-8.500171,-3.2174544,-0.9804007,-2.3344789,-4.3234153,0.057877168,-0.7826273,-18.41223,1.400335,7.119756,0.18923181,-3.4062538,-7.1087236,-0.85129035,0.0,0.3697768,-5.781777,-0.670697,1.470091,0.769319
10.1002/adma.201504705,416.0,32.211933,1.1530082,0.16962588,8.042117,8.431196,-3.035361,0.6631774,-0.6928815,-14.878944,1.7680256,5.5498676,0.4365793,-1.8740895,-6.817802,-0.58159846,0.0,0.9235979,19.263538,-0.5662571,1.8116766,0.83120376
10.1002/adma.201504705,249.0,-12.75382,-4.560201,-2.5878096,-0.7146138,-2.3915217,-5.0453486,0.53120476,-0.746837,-20.171679,1.4210774,5.734332,0.20460896,-2.85116,-7.10842,-0.6934886,0.0,-0.44685566,10.043626,-1.1716777,1.619926,0.74117905
10.1039/c8dt04374d,241.0,-5.011429,13.29745,-3.0395575,-1.0833786,2.0125113,-2.570107,-0.12685823,-0.7870707,-20.493658,-4.3201156,-2.7314878,0.20749404,-4.8408885,-7.0933127,-0.61819243,0.0,0.6100144,-5.956306,-0.79021716,1.3244197,0.7208008
10.1039/c8dt04374d,216.0,-10.719847,11.108346,-2.9604926,-1.259207,1.3971033,-5.726439,0.23408043,-0.7658922,-24.177383,-4.1013536,-2.8263476,0.18335639,-3.8876705,-7.112103,-0.6101191,0.0,-3.0015213,8.70073,-1.2042602,1.4042975,0.72954214
10.1039/c8dt04374d,286.0,-13.665111,9.879929,-4.9177327,0.7152686,1.5926707,25.781193,0.19822085,-0.8059966,-16.631794,-5.477957,-1.6986107,0.14210396,-3.6349506,-6.9244995,-0.5190121,0.0,-2.9775307,8.114144,-0.7124602,1.7014431,0.74887794
10.1039/c8nr01550c,288.0,-4.954674,8.28251,-0.5665479,-0.107790984,-5.3009896,-12.426734,0.06512768,-0.758491,26.852087,1.5384471,-1.0609703,0.33901942,5.347895,-6.709434,-0.5529372,0.0,0.44909176,-12.880372,-0.52304,1.550138,0.8692673
10.1039/c8nr06014b,438.0,-11.855884,-28.483526,-1.9551252,5.782856,0.13326326,10.445303,0.44007933,15.488634,13.283567,-3.9882665,-0.747767,0.040956583,-6.417731,241.59451,-0.6744652,0.0,0.24236108,9.849832,-0.32749724,1.295923,0.5870119
10.1039/c8nr06014b,231.0,-9.172464,-42.53092,-2.6961904,-0.89552546,0.33264965,-1.6181437,-0.07839829,-0.55746377,24.09686,-6.684582,-1.1045207,0.11568076,-6.149741,-7.1890535,-1.1333202,0.0,0.21393092,-7.313954,-0.65174025,1.5305091,0.80552703
10.1002/celc.202100558,153.0,-7.4552794,-19.944538,-2.7916496,-3.5919724,-3.0748727,-5.786947,-0.072560444,-0.7703582,-2.099095,1.2927041,-2.048656,0.3777687,2.245089,-7.446993,-0.50091714,0.0,0.446265,-13.635405,-0.5334363,-24.175568,-15.819772
10.1002/celc.202100558,169.0,-7.7438,-26.103832,-6.047946,-6.7474527,-3.1876717,10.027134,-0.074580744,-0.7799493,-1.4250028,1.1708436,-1.546019,0.2609785,1.8939067,-7.3556414,-0.4909792,0.0,0.4585817,-12.918745,-0.4167836,-27.273355,-16.44276
10.1002/celc.202100558,192.0,-7.6696854,-25.916672,-5.487395,-6.7374244,-3.1876717,10.43838,-0.074580744,-0.77890885,-1.9963667,1.1708436,-1.5355567,0.2609785,1.9750048,-7.3444443,-0.4909792,0.0,0.4585817,-12.839232,-0.4167836,-27.294302,-16.579893
10.1002/celc.202100558,110.0,-7.9740095,-25.916672,-5.4380765,-6.895766,-3.1876717,9.547641,-0.074580744,-0.78798276,-1.9963667,1.1410657,-1.5355567,0.2609785,1.9196581,-7.357744,-0.4909792,0.0,0.4585817,-12.839232,-0.4127866,-27.928354,-16.884832
10.1039/d5ta06789h,234.5,-0.64130384,-11.738536,3.6236153,-2.2184386,-2.858628,-5.5505676,-0.023736771,-0.7757353,-19.925352,1.0793239,-2.9786124,0.27994794,1.8168124,-7.076119,-0.752967,0.0,0.9220126,-4.1240625,-0.67922276,1.5362312,0.75919753
10.1039/d5ta06789h,146.9,-1.3359737,-9.64191,1.3228092,-3.8953283,-4.8942275,-6.0364337,0.1799269,-0.7594252,-22.835564,0.99116874,-3.0093668,0.20988852,0.2967654,-7.0645175,-0.6847654,0.0,-4.0141306,7.312161,-0.8067273,1.6467963,0.77257174
10.1039/d5ta06789h,219.1,-9.339609,-11.437835,3.8366032,-2.2732944,-2.460311,-5.3817306,-0.058879804,-0.75639737,-19.466028,1.0793239,-3.0284743,0.27994794,2.2171662,-7.1249557,-0.6050887,0.0,0.77837604,-4.1342726,-0.8500149,1.4888958,0.71223503
10.1039/d6ta00010j,192.0,0.95424366,8.131456,-2.680769,-2.16283,-5.8055983,-10.2356615,-0.06520608,-0.8009262,-21.481028,1.48784,-2.2174594,0.2077966,4.221741,-7.0354877,-0.5951689,0.0,0.8448382,-6.004839,-0.78584063,1.3582411,0.75808567
10.1039/d6ta00010j,226.0,0.62323505,9.497583,-2.777062,-1.5009236,-11.054427,-6.704051,-0.16553158,-0.7876231,-19.351536,1.2727448,-2.169479,0.19735055,3.7028606,-7.0885835,-0.55478615,0.0,0.87079585,-6.977966,-0.83982706,1.3932307,0.7415562
10.1039/d6ta00010j,214.0,-12.295399,5.6130767,-2.2802453,-1.4044756,-3.11146,-6.1327877,0.17034101,-0.7502866,-25.618866,1.5325584,-2.427113,0.14370899,2.4057584,-7.0447235,-0.5160705,0.0,-3.8886971,8.230398,-1.2431176,1.439734,0.74460316
10.1039/d6ta00010j,230.0,-9.36997,12.580768,-1.7273215,-1.1153005,2.1115062,-5.9114175,0.22206426,-0.7579026,-30.915163,1.4736083,-2.6304712,0.14370899,3.470051,-7.0645456,-0.46650413,0.0,-7.4723115,8.778447,-1.1399789,1.4387063,0.74245065
10.1039/d6ta00010j,239.0,-6.00961,12.699747,-1.5417693,-1.079949,2.282391,-5.927243,0.23499653,-0.77119696,-31.11101,1.4736083,-2.7619104,0.14370899,3.5448825,-7.0401554,-0.61695,0.0,-7.4723115,8.786096,-1.0471733,1.4562413,0.77623516
10.1039/d6ta00010j,240.77,-6.291739,12.707822,-1.5280632,3.463917,-16.340513,-3.2643607,-0.07438695,-0.862,7.4087825,1.8522955,-1.8295076,0.1557069,3.682662,-7.2940774,-0.42704004,0.0,-3.813325,9.66519,-0.9509097,-25.766584,-16.280422
10.1039/d6ta00010j,200.0,-9.36997,12.580768,-1.7273215,-1.1153005,2.1115062,-5.9114175,0.22206426,-0.7579026,-30.915163,1.4736083,-2.6304712,0.14370899,3.470051,-7.0645456,-0.46650413,0.0,-7.4723115,8.778447,-1.1399789,1.4387063,0.74245065
10.1039/d6ta00010j,197.0,-11.439243,12.529144,-1.6931874,-0.6854301,2.0041592,-5.9508896,0.22206426,-0.7579026,-30.915163,1.4736083,-2.6304712,0.14370899,3.7001956,-7.0755568,-0.5253959,0.0,-7.4723115,8.819581,-1.2042602,1.4338508,0.74245065
10.20517/energymater.2024.45,258.8,29.863295,-14.156728,2.1261072,-1.900289,-2.2957544,-2.0023916,0.20780095,-0.6776728,28.961864,1.8395976,-0.98073846,0.40842474,5.421543,-6.7046614,-0.84161097,0.0,0.5302562,-14.521384,-0.36712852,1.6992985,0.98922384
10.20517/energymater.2024.45,325.7,16.727488,-4.1201406,2.5760517,-0.16367543,-0.23386192,-1.0108148,0.24008119,-0.636653,27.95425,1.8526006,-0.9690847,0.40842474,5.2655115,-6.6585913,-0.6689941,0.0,0.4046629,-10.960296,-0.30082446,1.7065377,0.99401605
10.20517/energymater.2024.45,381.5,19.21982,-0.918882,-0.41513276,-0.93160486,3.4310012,-1.2389005,0.74175143,-0.6096432,33.68773,1.7018843,-0.86900616,0.3999864,6.048692,-6.6237335,2.7472644,0.0,0.4843181,24.3401,-0.20367219,1.9479231,1.1038054
10.20517/energymater.2024.45,396.4,3.7394125,-0.4789724,2.5251303,1.9221451,6.321673,-3.0604398,0.71507555,-0.63151723,32.304234,1.7027942,-0.8517343,0.33085498,7.1992774,-6.5645385,3.1471496,0.0,0.9260161,13.958862,-0.59703475,2.0258386,1.1346385
10.20517/energymater.2024.45,360.3,0.16083682,-0.42402014,2.9296088,2.163927,6.416559,-3.0282576,0.755256,-0.63151723,32.4525,1.7170141,-0.8517343,0.33085498,7.165341,-6.564832,3.3168273,0.0,0.9260161,13.576374,-0.5885638,2.0233862,1.1346385
10.1002/eem2.12876,294.0,22.912584,-26.116894,-4.488949,1.8290095,-4.0189714,17.434256,-0.22764426,-0.7274349,-12.020705,1.5250934,-1.6983138,0.1391513,2.636764,-7.0026717,-0.56102514,0.0,0.49798596,-9.560549,-0.19780964,1.7361659,0.7905186
10.1002/eem2.12876,74.0,-9.875222,-34.25053,-2.6851416,-1.6908098,-5.1039195,-5.131617,-0.54904336,-0.7336278,-19.031712,1.1307893,-2.6965,0.11335436,2.6852016,-7.3304625,-0.698564,0.0,0.5991753,-7.281241,-0.5802834,1.5067867,0.7190256
10.1002/eem2.12876,105.0,-6.8183217,-34.25812,-2.8202581,-1.6855984,-4.9250655,-5.131617,-0.54904336,-0.7336278,-19.030191,1.1307893,-2.6965,0.11335436,2.6852016,-7.3296957,-0.698564,0.0,0.5991753,-7.078362,-0.5802834,1.5067867,0.7190256
10.1002/eem2.12876,208.0,3.155383,-24.900759,-2.3175027,-0.91257495,1.6544644,-1.971579,-0.4457643,-0.73218733,-15.863965,1.5834597,-1.9289838,0.10090831,3.663397,-7.218704,-0.59921706,0.0,0.49308348,-8.488593,-0.50525266,1.4228323,0.6996094
10.1002/eem2.12876,151.0,-12.3855,13.857623,-3.8236878,-1.2427896,2.9099371,-6.6284566,-0.13839884,-0.84304625,-23.846432,-4.157559,-2.6137793,0.3234902,-5.8867416,-7.0994005,-0.4734195,0.0,0.4315818,-4.9917245,-1.290085,1.3298012,0.67603
10.1002/slct.202200690,164.6,-10.122742,-7.882859,-3.2798553,-1.308168,-1.9069213,-4.7447743,-0.040803578,-0.7814823,-17.7356,-4.1140833,-2.8033173,0.17344323,-3.949912,-7.235249,-0.77533996,0.0,0.27930588,-6.070947,-0.84148914,1.4036726,0.69740164
10.1002/slct.202200690,200.4,-5.641245,-8.227894,-3.3139894,-1.4660263,-2.0074863,-4.7532706,-0.018592801,-0.77917385,-18.280857,-4.1140833,-2.7267,0.17344323,-4.160309,-7.2153277,-0.77277243,0.0,0.4229424,-6.088366,-0.76350266,1.4221092,0.7105797
10.1002/slct.202200690,211.7,-12.10024,-5.726215,-2.7820427,-0.7888388,-2.8073463,-5.1623373,0.34933805,-0.75261134,-19.16174,-3.8214402,-2.7066,0.13338634,-4.3392177,-7.1803946,2.919279,0.0,0.37581116,10.2197695,-0.9923177,1.5525465,0.724994
10.1002/slct.202200690,270.5,-9.38156,-5.885637,-2.7820427,-0.79693764,-3.0070908,-5.1769385,0.37154883,-0.7503029,-19.706995,-3.8214402,-2.6299827,0.13338634,-4.4963794,-7.1661897,3.0560665,0.0,0.5194477,10.4117565,-0.95930135,1.5661278,0.73817205
10.1002/smll.202202203,376.0,1.210226,15.977707,-2.582738,-0.91608703,3.6787405,-5.333403,-0.047064044,-0.78750706,-27.72127,1.3957939,-2.7467253,0.21376836,5.990047,-7.0308943,-0.54817015,0.0,1.7959025,-5.2531185,-0.78839946,1.4309596,0.7628609
10.1021/acsnano.2c03351,287.9,0.81151927,-16.640133,-1.8315799,0.74200314,1.1423415,0.8180715,0.31571415,-0.59510726,34.6735,2.5435026,-1.3543695,0.13635334,5.8167753,-6.800598,-0.7532615,0.0,1.083575,-9.041186,-0.39532343,1.7471904,0.9670069
10.3390/molecules30020241,289.0,16.536804,22.922174,6.3453345,2.87385,9.474353,-14.0821085,1.8837982,-0.8881425,12.444614,1.5392102,5.1266155,0.33864743,-4.4806023,-6.74105,0.030353442,0.0,0.51670283,-3.904271,-0.5448188,1.4463456,0.9145455
10.3390/molecules30020241,658.0,19.514238,29.516928,10.765311,5.1951904,11.782793,35.895657,3.9579234,33.996674,17.665396,2.0033226,4.2077694,0.2800709,-3.6666694,-6.026912,0.14367217,0.0,0.63006306,-1.9041533,0.14270782,1.6838299,0.9933654
10.1038/nature13970,245.0,-10.682112,10.278891,-2.4230459,5.0999336,-4.0278544,-5.8489814,-0.2318043,-0.79787356,-20.427464,1.4003325,-2.012542,-3.6078432,-5.909992,-7.0346394,-0.47892523,0.0,-0.09960604,-4.9581056,-1.192796,1.398683,0.77910984
10.1038/nature13970,182.0,-10.81916,8.595569,-2.9832678,-1.2036291,-5.464134,-6.0864635,-0.26785117,-0.79787356,-20.022165,1.3710393,-1.9808986,-3.7425838,-5.27634,-7.076002,-0.5991119,0.0,-0.10915746,-5.525465,-1.2542801,1.3277057,0.73723805
10.1038/nature13970,161.0,-11.189885,10.453259,-3.026596,-0.7080663,-14.320183,-6.255338,-0.6279408,-0.80136585,-20.221758,1.1389092,-2.0064285,-3.4484935,-5.2108927,-7.1384177,-0.6233124,0.0,-0.07711107,-5.1975517,-1.2167677,1.3207127,0.7240763
