DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1021/acsomega.1c06761,"2022, Gandla et al.",Mo2Ti2C3Tx,"Mo2Ti2C3 with -OH, -F, =O terminations","HF etching (50% aq. HF, 60°C, 96 h), ultrasonication delamination, vacuum-assisted filtration",Multilayer/delaminated,2.46 nm,,,,,,~3 mg cm-2,1 M EMIMTFSI in acetonitrile,,200 mV s-1,10 mA cm-2,152 F g-1,,
10.1021/acsomega.1c06761,"2022, Gandla et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations","HF etching (50% aq. HF, 60°C, 48 h), vacuum-assisted filtration",Multilayer,1.02 nm,,,,,,~3 mg cm-2,1 M EMIMTFSI in acetonitrile,,200 mV s-1,10 mA cm-2,61 F g-1,,
10.1002/cnl2.70006,"2025, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with δ-MnO₂ nanoflowers intercalated; –OH, –F, =O surface terminations",Hydrothermal (δ-MnO₂) + water bath mixing with MXene at 140°C for 12 h,,,,,,,,,1 M Na₂SO₄,,50 mV s⁻¹,1.0 A g⁻¹,108 F g⁻¹,,
10.1002/cnl2.70006,"2025, Zhang et al.",N/A,"δ-MnO₂ nanoflowers (JCPDS 80-1098); Mn²⁺, Mn³⁺, Mn⁴⁺ confirmed by XPS",Hydrothermal method,,,,,,,,,1 M Na₂SO₄,,50 mV s⁻¹,1.0 A g⁻¹,107 F g⁻¹,,
10.1002/cnl2.70006,"2025, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; Ti-C, Ti(II), Ti-O confirmed by XPS",,,,,,,,,,1 M Na₂SO₄,,50 mV s⁻¹,1.0 A g⁻¹,2.0 F g⁻¹,,
10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl etching + ultrasonication + vacuum filtration,Few-layer (delaminated),12.6 Å,,,,,4.47 ± 0.29 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,258.8 F g⁻¹,847.6 F cm⁻³,
10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,Ti₃C₂; partial termination removal post-annealing,LiF/HCl etching + ultrasonication + vacuum filtration + annealing 400 °C/2 h in Ar (no gelatin),Few-layer (delaminated),11.8 Å,,,,,3.17 ± 0.16 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,325.7 F g⁻¹,,
10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 3 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (3 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),~11.8 Å,,,,,3.47 ± 0.13 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,381.5 F g⁻¹,1347.0 F cm⁻³,
10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 5 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (5 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),13.4 Å,,,,,4.65 ± 0.04 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,396.4 F g⁻¹,1153.2 F cm⁻³,
10.20517/energymater.2024.45,"2025, Yang et al.",Ti₃C₂Tₓ,"Ti₃C₂ + 10 wt% gelatin-derived N-doped CDs; –OH, –F, =O, C=O terminations",LiF/HCl etching + gelatin intercalation (10 wt%) + vacuum filtration + annealing 400 °C/2 h in Ar,Few-layer (delaminated),~13.7 Å (002 peak at 6.4°),,,,,4.66 ± 0.11 µm,,3 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,360.3 F g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,1 M H₂SO₄ (aqueous),,,,,900,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,1 M Li₂SO₄ (aqueous),,,,,209,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,1 M KOH (aqueous),,,,,350,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,EMIMTFSI (nonaqueous),,,,70,,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,up to 200 µm,,1 M H₂SO₄ (aqueous),,,,270,,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching + PMMA template,,,,,,,,,3 M H₂SO₄ (aqueous),,,,,1500,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching + PMMA template,,,,,,,,,1 M LiTFSI (nonaqueous),,,,,410,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,1 M NaClO₄ (nonaqueous),,,,166 mAh g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF-containing etching,,,,,,,,,3 M H₂SO₄ (aqueous),,,,272,,
10.1002/eem2.12090,2020; Li et al.,Ti₂CTₓ,Ti₂C with surface terminations,HF-containing etching,,,,,,,,,1 M LiPF₆ (nonaqueous),,,,176 mAh g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,Nb₄C₃Tₓ,Nb₄C₃ with surface terminations,HF-containing etching,,,,,,,,,1 M LiPF₆ (nonaqueous),,,,333 mAh g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,V₂CTₓ,V₂C with surface terminations,HF-containing etching,,,,,,,,,1 M KOH (aqueous),,,,184,,
10.1002/eem2.12090,2020; Li et al.,V₂CTₓ,V₂C with surface terminations,HF-containing etching,,,,,,,,,1 M MgSO₄ (aqueous),,,,225,,
10.1002/eem2.12090,2020; Li et al.,V₂CTₓ,V₂C with surface terminations,HF-containing etching,,,,,,,,,1 M NaPF₆ (nonaqueous),,,,,170,
10.1002/eem2.12090,2020; Li et al.,Mo₂CTₓ,Mo₂C with surface terminations,HF-containing etching,,,,,,,,,1 M H₂SO₄ (aqueous),,,,,700,
10.1002/eem2.12090,2020; Li et al.,Mo₂CTₓ,Mo₂C with surface terminations,HF-containing etching + PMMA template,,,,,,,,,3 M H₂SO₄ (aqueous),,,,,750,
10.1002/eem2.12090,2020; Li et al.,Nb₂CTₓ,Nb₂C with surface terminations,HF-containing etching,,,,,,,,,1 M LiPF₆ (nonaqueous),,,,600 mAh g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,Mo₂Ti₂C₃Tₓ,Mo₂Ti₂C₃ with surface terminations,HF-containing etching,,,,,,,,,1 M LiPF₆ (nonaqueous),,,,269 mAh g⁻¹,,
10.1002/eem2.12090,2020; Li et al.,Mo₁.₃₃CTₓ,Mo₁.₃₃C with surface terminations,HF-containing etching,,,,,,,,,1 M H₂SO₄ (aqueous),,,,,1153,
10.1002/eem2.12090,2020; Li et al.,Ta₄C₃Tₓ,Ta₄C₃ with surface terminations,HF-containing etching,,,,,,,,,0.1 M H₂SO₄ (aqueous),,,,480,,
10.1002/eem2.12090,2020; Li et al.,Mo₂TiC₂Tₓ,Mo₂TiC₂ with surface terminations,HF-containing etching,,,,,,,,,1 M H₂SO₄ (aqueous),,,,,413,
10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl etching of Ti₃AlC₂ MAX phase (MILD), 48 h at 40°C",Few-layer,1.33 nm (TEM); 2θ=7.5° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),16.3 m² g⁻¹,10 mV s⁻¹,1 A g⁻¹,294 F g⁻¹,,
10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 0.5 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,2θ=6.9° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,10 mV s⁻¹,1 A g⁻¹,74 F g⁻¹,,
10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 1 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,2θ=6.8° (XRD),Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,10 mV s⁻¹,1 A g⁻¹,105 F g⁻¹,,
10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 10 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,1.33 nm (TEM); 2θ=6.1° (XRD),Several µm,,,,~0.75 µm,,1 M H₂SO₄ (SC); 1 M KOH (HER),13.4 m² g⁻¹,10 mV s⁻¹,1 A g⁻¹,208 F g⁻¹,1540 F cm⁻³,
10.1002/eem2.12876,2025; Mehdi et al.,Ti₃C₂Tₓ/Ni,"Ti₃C₂ with –OH, –F, =O terminations + 15 wt% Ni NPs (40 nm)",LiF/HCl etching + paste mixer Ni intercalation,Few-layer,,Several µm,,,,,,1 M H₂SO₄ (SC); 1 M KOH (HER),,,,151 F g⁻¹,,
10.1021/acsomega.3c04058,"2024, Bukhari et al.",Ti₃C₂Tₓ,10% Ti₃C₂ MXene + 90% C60 (wt%),"HF/H₂O₂ etching of Ti₃SiC₂ (55°C, 45h) + TMAOH delamination + hydrothermal composite (90°C, 24h)",Multilayer (delaminated),,,,,,,,6 M KOH,,2 mV s⁻¹,,~50 F g⁻¹,,
10.1021/acsomega.3c04058,"2024, Bukhari et al.",Ti₃C₂Tₓ,25% Ti₃C₂ MXene + 75% C60 (wt%),"HF/H₂O₂ etching of Ti₃SiC₂ (55°C, 45h) + TMAOH delamination + hydrothermal composite (90°C, 24h)",Multilayer (delaminated),,,,,,,,6 M KOH,,2 mV s⁻¹,,~120 F g⁻¹,,
10.1021/acsomega.3c04058,"2024, Bukhari et al.",Ti₃C₂Tₓ,50% Ti₃C₂ MXene + 50% C60 (wt%),"HF/H₂O₂ etching of Ti₃SiC₂ (55°C, 45h) + TMAOH delamination + hydrothermal composite (90°C, 24h)",Multilayer (delaminated),,,,,,,,6 M KOH,,2 mV s⁻¹,,~160 F g⁻¹,,
10.1021/acsomega.3c04058,"2024, Bukhari et al.",Ti₃C₂Tₓ,75% Ti₃C₂ MXene + 25% C60 (wt%),"HF/H₂O₂ etching of Ti₃SiC₂ (55°C, 45h) + TMAOH delamination + hydrothermal composite (90°C, 24h)",Multilayer (delaminated),,,,,,,,6 M KOH,,2 mV s⁻¹,,~240 F g⁻¹,,
10.1021/acsomega.3c04058,"2024, Bukhari et al.",Ti₃C₂Tₓ,90% Ti₃C₂ MXene + 10% C60 (wt%),"HF/H₂O₂ etching of Ti₃SiC₂ (55°C, 45h) + TMAOH delamination + hydrothermal composite (90°C, 24h)",Multilayer (delaminated),,,,,,,,6 M KOH,,2 mV s⁻¹,,348 F g⁻¹,,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),13.16 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,289.73 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),14.71 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,288.35 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.01 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,290.34 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.62 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,363.25 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.05 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,338.25 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.15 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,331.29 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.40 Å,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,338.24 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,329.50 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),,500-1200 nm,,,,,,1.0 M Li2SO4,,20 mV s-1,,,307.83 F cm-3,
10.1002/adfm.202003721,"2020, Li et al.",Ti3C2Tx,"Ti3C2 with -O, -F, -OH terminations",MILD (LiF/HCl etching + ultrasonication),Multilayer (delaminated),15.40 Å,500-1200 nm,,,,2.0 µm (crumple-textured),0.36 mg cm-2,1.0 M ZnSO4/gelatin gel,,5 mV s-1,,,665.5 F cm-3,77.2 mF cm-2
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, –O terminations","HF etching of Ti₃AlC₂ (6 mol·L⁻¹, RT, 72 h)",Multilayer,9.5,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,72,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, –O; K⁺ intercalated (Ti₃C₂TₓK₀.₂₄)",HF etching + electrochemical discharge in sat. K₂SO₄ at 10 mV·s⁻¹ (0 to −0.7 V vs. Ag/AgCl),Multilayer,12.4,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,185,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O enriched terminations; trapped K⁺ pillar (Ti₃C₂TₓK₀.₀₆),HF etching + electrochemical discharge/charge cycling in sat. K₂SO₄ at 10 mV·s⁻¹,Multilayer,12.7,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,380,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O enriched terminations; trapped Cs⁺ pillar,HF etching + electrochemical cycling in 1 mol·L⁻¹ Cs₂SO₄ at 10 mV·s⁻¹,Multilayer,12.7,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O enriched terminations; trapped Na⁺ pillar,HF etching + electrochemical cycling in 1 mol·L⁻¹ Na₂SO₄ at 10 mV·s⁻¹,Multilayer,,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,~250,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O enriched terminations; Li⁺ treated,HF etching + electrochemical cycling in 1 mol·L⁻¹ Li₂SO₄ at 10 mV·s⁻¹,Multilayer,,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with partly hydrated Mg²⁺ intercalated,HF etching + electrochemical cycling in 1 mol·L⁻¹ MgSO₄ at 10 mV·s⁻¹,Multilayer,15.2,,,,,,,1 mol·L⁻¹ H₂SO₄,,2,,72,,
10.1007/s12274-021-3939-1,"2022, Li et al.",Ti₃C₂Tₓ,Ti₃C₂ with original terminations; Al³⁺ fully extracted,HF etching + electrochemical cycling in sat. Al₂(SO₄)₃ at 10 mV·s⁻¹,Multilayer,9.5,,,,,,,1 mol·L⁻¹ H₂SO₄,,,,~72,,
10.1002/adfm.202109524,"2021, Peng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –F, –OH, =O terminations","MILD (LiF/HCl etching), 35°C, 24 h",Few-layer,1.23 nm,,,2.60 and 11.7 nm,,,1 mg cm⁻²,2 M ZnSO₄ (aqueous),112.7 m² g⁻¹,20 mV s⁻¹,0.2 A g⁻¹,78.6 F g⁻¹,,
10.1002/adfm.202109524,"2021, Peng et al.",Ti₃C₂Tₓ (EDA-intercalated),"Ti₃C₂ with –F, –OH, =O terminations + EDA pillars; N: 3.73%","MILD etching + one-step amination (70°C, 6 h)",Few-layer,1.36 nm,,,3.38 and 7.52 nm,,,1 mg cm⁻²,2 M ZnSO₄ (aqueous),,20 mV s⁻¹,0.2 A g⁻¹,96.6 F g⁻¹,,
10.1002/adfm.202109524,"2021, Peng et al.",Ti₃C₂Tₓ (PrDA-intercalated),"Ti₃C₂ with –F, –OH, =O terminations + PrDA pillars; N: 4.15%","MILD etching + one-step amination (70°C, 6 h)",Few-layer,1.39 nm,,,3.38 and 7.52 nm,,,1 mg cm⁻²,2 M ZnSO₄ (aqueous),,20 mV s⁻¹,0.2 A g⁻¹,101.0 F g⁻¹,,
10.1002/adfm.202109524,"2021, Peng et al.",Ti₃C₂Tₓ (BDA-intercalated),"Ti₃C₂ with –F, –OH, =O terminations + BDA pillars; N: 4.38%","MILD etching + one-step amination (70°C, 6 h)",Few-layer,1.40 nm,,,3.38 and 7.55 nm,,,1 mg cm⁻²,2 M ZnSO₄ (aqueous),,20 mV s⁻¹,0.2 A g⁻¹,101.3 F g⁻¹,,
10.1002/adfm.202109524,"2021, Peng et al.",Ti₃C₂Tₓ (PDA-intercalated),"Ti₃C₂ with –F, –OH, =O terminations + PDA pillars; N: 8.72%","MILD etching + one-step amination (70°C, 6 h)",Few-layer,1.38 nm,,,2.84 and 11.7 nm,,,1 mg cm⁻²,2 M ZnSO₄ (aqueous); also 1 M Zn(OTF)₂ + 21 M LiTFSI,195.8 m² g⁻¹,20 mV s⁻¹,0.2 A g⁻¹,124.4 F g⁻¹,,
10.1002/adfm.202211199,"2023, Wang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD (LiF/HCl etching of Ti₃AlC₂, 35°C, 24 h)",,1.33 nm,4.51 μm,,,,<10.08 μm,,2 M ZnSO₄ / PAM gel,,5 mV s⁻¹,3 mA cm⁻²,,,
10.1002/adfm.202211199,"2023, Wang et al.",Ti₃C₂Tₓ (Porous),"Ti₃C₂ with –OH, –F, =O terminations; C/O ratio 2.9","MILD etching + H₂O₂ oxidation-etching (15 μL, 30%, 1 h, RT)",,1.37 nm,1.13 μm,16.90%,12.15 nm,,<10.08 μm,,2 M ZnSO₄ / PAM gel,,5 mV s⁻¹,3 mA cm⁻²,,,
10.1002/adfm.202211199,"2023, Wang et al.",Ti₃C₂Tₓ / CNF Foam,"Ti₃C₂ with –OH, –F, =O + CNF intercalant; C/O ratio 2.6","MILD etching + H₂O₂ pore-making + CNF intercalation + N₂H₄·H₂O gas foaming (90°C, 6 h)",,1.40 nm,1.13 μm,,Micro <2 nm / Meso ~12.15 nm / Macro >50 nm,,276.32 μm,,2 M ZnSO₄ / PAM gel,,5 mV s⁻¹,3 mA cm⁻²,,,410 mF cm⁻²
10.1039/c9ta02190f,"2019, Zheng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)",LiF/HCl etching (MILD),Single-layer / delaminated,1.45 nm,1–3 µm,,,,3.2 µm,,EMIMBF₄ (liquid),,50 mV s⁻¹,0.1 mA cm⁻²,,139 F cm⁻³,44 mF cm⁻²
10.1039/c9ta02190f,"2019, Zheng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)",LiF/HCl etching (MILD),Single-layer / delaminated,1.09 nm,1–3 µm,,,,3.2 µm,,EMIMBF₄ (liquid),,50 mV s⁻¹,,,63 F cm⁻³,
10.1039/c9ta02190f,"2019, Zheng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)",LiF/HCl etching (MILD),Single-layer / delaminated,,1–3 µm,,,,3.2 µm,,EMIMTFSI,,50 mV s⁻¹,0.1 mA cm⁻²,,93 F cm⁻³,29 mF cm⁻²
10.1039/c9ta02190f,"2019, Zheng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)",LiF/HCl etching (MILD),Single-layer / delaminated,,1–3 µm,,,,3.2 µm,,"N₁₁,₁O₁,₁O₂BF₄",,50 mV s⁻¹,0.1 mA cm⁻²,,103 F cm⁻³,33 mF cm⁻²
10.1039/c9ta02190f,"2019, Zheng et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)",LiF/HCl etching (MILD),Single-layer / delaminated,,1–3 µm,,,,3.2 µm,,BMIMPF₆,,50 mV s⁻¹,0.1 mA cm⁻²,,39 F cm⁻³,12 mF cm⁻²
