DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1007/s11771-022-4893-0,"2022, Min et al.",Ti3C2Tx (monolayer),"Ti3C2Tx with –O, –OH and –F surface terminations; Ti–O, Ti–OH and Ti–F bonds detected by XPS","HF etching route: 40% HF for 24 h at 25 °C, followed by absolute ethyl alcohol intercalation–delamination and vacuum freeze-drying",Monolayer; delaminated from multilayer Ti3C2Tx,"4.669 Å, d(002) from SAED for monolayer Ti3C2Tx; XRD (002) shifted from 9.52° to 5.07°",1.105–1.612 µm,"Not reported; no porosity % reported, only SSA and pore volume from BET","~2–4 nm (mesoporous), from pore size distribution; H3-type hysteresis indicates mesopores","Not reported; no impedance-based tortuosity modeling; only Rs, R1, C1 and W1 fitted from Nyquist",0.8 nm monolayer nanosheet thickness from AFM; multilayer thickness was 23.3 nm,"~1 mg total on glassy carbon working electrode, not areal; CDI electrode used ~200 mg on 100×100 mm plate",1.0 mol L-1 NaCl for CV; 1 g L-1 NaCl for EIS; 10–2000 mg L-1 NaCl for CDI,235.6 m² g⁻¹,10 mV s⁻¹,Not reported,"144.7 F g⁻¹ at 10 mV s⁻¹; 133.9, 125.5 and 118.2 F g⁻¹ at 20, 50 and 100 mV s⁻¹",Not reported,Not reported
10.3390/molecules30020241,"2025, Liu et al.",Ti3C2Tx,"Ti3C2Tx with –OH, –O (C–Ti–O, Ti–O) and –F surface terminations; confirmed by XPS and FTIR","MILD route: LiF/HCl etching of Ti3AlC2 (38 °C, 48 h), followed by ultrasonic fragmentation for 3 h under Ar atmosphere","Few-layer / delaminated nanosheets; TEM confirms 2D sheet morphology, but explicit layer count not stated","Not reported; XRD (002) peak position discussed qualitatively, but no numerical d-spacing value given","~250 nm (TCS-3); TCS-0 ≈1.3 µm, TCS-1 ≈600 nm, TCS-2 ≈400 nm","Not reported; no porosity % given, only SSA and pore diameter from N2 adsorption","4.81 nm, mesoporous pore-size distribution center for sonicated sample",Not reported,Not reported; film mass and electrode area given but no thickness measurement reported,"~1.6 mg cm-2, calculated from ~0.4 mg active material on 0.25 cm2 electrode; not explicitly stated as areal mass loading",H2SO4 aqueous electrolyte; concentration not explicitly stated in main text,19.898 m² g⁻¹,5 mV s⁻¹,1 A g⁻¹,658 F g⁻¹ at 1 A g⁻¹; 316 F g⁻¹ retained at 10 A g⁻¹,"Not reported; abstract wording is ambiguous, but units reported are F g⁻¹, not F cm⁻³",Not reported
10.1002/smll.202205947,"2022, Guo et al.","Ti3C2Tx (holey, H-Ti3C2Tx)","Ti3C2Tx with –OH, –O, –Cl and –F surface terminations; XPS confirms C–Ti–O and C–Ti–OH, and survey shows Ti, C, O, F and Cl","MILD route: LiF/HCl etching of Ti3AlC2 MAX (3.2 g LiF + 60 mL 9 M HCl, 35 °C, 24 h), followed by O2 reflux oxidation at 100 °C and HF removal of in-situ TiO2",Few-layer; ~2 nm thickness from AFM,Not reported numerically as d-spacing; (002) XRD peak shifted from 6.26° to 6.17° (2θ),1–3 µm,"Not reported; no BET porosity or mercury porosimetry, only TEM-based pore statistics on sheets",4.5 nm average in-plane nanopore diameter (range 2–10 nm),Not reported; no tortuosity modeling; ion transport discussed via τ0 from EIS only,10–84 µm studied; 25 µm used for primary comparisons,1.63–6.41 mg cm-2,3 M H2SO4 aqueous electrolyte,Not reported,3 mV s⁻¹,0.5 A g⁻¹,"339 F g⁻¹ (H-Ti3C2Tx-40) at 0.5 A g⁻¹, 25 µm film; 196 F g⁻¹ at 50 A g⁻¹","446 F cm⁻³ (H-Ti3C2Tx-25 at 10 µm, 1 A g⁻¹); 419/291/214 F cm⁻³ at 25/50/84 µm",Not reported
Not reported,"Not reported, Chen et al.",V2CTx/Ti3C2Tx composite; best electrode V/T-30% (30 wt% V2CTx),"Vanadium carbide (V2C) particles plus titanium carbide (Ti3C2) sheets with –F, –O and –OH surface terminations; Tx defined in introduction",LiF/HCl MILD etching for Ti3C2Tx; NaF/HCl etching at 90 °C for 72 h for V2CTx; vacuum filtration to form binder-free composite film,Delaminated few-layer Ti3C2Tx matrix plus multilayer V2CTx pillars; stated as d-Ti3C2Tx and ml-V2CTx,"Not reported; XRD (002) peak shift from 6.4° to 6.3° noted, but d-spacing value not calculated",Not reported; SEM/TEM show large-sized lamellar morphology but no quantitative lateral dimension,Not reported; N2 isotherms mentioned but porosity % not stated in main text,"Not reported; described qualitatively as large-sized mesoporous, but no numerical value in main text","Not reported; EIS reports Rct, Rw and Rs but no tortuosity value modeled",Not reported; cross-sectional SEM shown but film thickness not quantified,Not reported,1 M H2SO4 for three-electrode testing; 3 M H2SO4 for symmetric supercapacitor,Not reported; N2 adsorption–desorption performed but BET value not given in main text,2 mV s⁻¹,1 A g⁻¹,356 F g⁻¹ for V/T-30% film at 2 mV s⁻¹ in 1 M H2SO4,Not reported,Not reported
Not reported,"2022, Yang et al.",Ti3C2Tx,"Ti3C2Tx with –OH and –F surface terminations; confirmed by FTIR (O–H at 3431 cm⁻¹, hydroxyl at 1620 cm⁻¹, C–F at 1108 cm⁻¹) and XPS","Sacrificial PS-template method plus in-situ PANI polymerization; PS removed at 400 °C for 2 h, and aniline polymerized with APS in 0.1 M HCl at 4 °C for 12 h","Few-layer; few-layered structures after ultrasonic treatment shown by SEM/TEM, but no explicit count","14.4692 Å for composite vs 13.5896 Å for pristine Ti3C2Tx, from XRD (002); expansion of 0.8796 Å",Not reported,"Not reported; only SSA and pore diameter reported from BET, no porosity % stated","23.45 nm average; distribution at 52.42, 25.76 and 16.07 nm from BJH N2 adsorption",Not reported,Not reported; electrode coated on Ni foam but thickness not given,"Not reported; only mass ratio given as 85% active material, 5% acetylene black and 10% PVDF; no mg cm-2 value",1 M NaCl for CDI/electrochemistry; 1 M KOH for electrochemistry; CDI uses 500 mg L-1 NaCl feed,74 m² g⁻¹,10 mV s⁻¹,Not reported,102 F g⁻¹ in 1 M NaCl per abstract/conclusion; 125.85 F g⁻¹ in 1 M NaCl in results; 515.75 F g⁻¹ in 1 M KOH,Not reported,Not reported
Not reported,"2022, Zhang et al.",Ti3C2Tx / g-C3N4 heterostructure (Ti3C2Tx/g-C3N4-2),"Ti3C2Tx with –OH and =O surface terminations; XPS O 1s shows enhanced Ti–C–(OH)x, and Ti–C–Ox peak disappears after heterostructure formation",MILD route: LiF/HCl etching for Ti3C2Tx; g-C3N4 from thermal polymerization of urea; vacuum-assisted filtration/self-assembly of Ti3C2Tx + g-C3N4 into film,"Few-layer / delaminated Ti3C2Tx, described as few-layered after MILD delamination","0.3315 nm lattice fringe from HRTEM; XRD (002) shifted from 6.48° to ~6.16° (2θ), indicating increased interlayer spacing",Not reported,Not reported,Not reported,Not reported; EIS performed but no tortuosity modeling discussed,Not reported; cross-sectional SEM shown but no numerical thickness reported,Not reported; electrode area 1 × 1.5 cm stated but no mg cm-2 value reported,1 M H2SO4 for three-electrode testing; PVA/H2SO4 gel for solid-state symmetric device,Not reported,5 mV s⁻¹,1 A g⁻¹,414 F g⁻¹ for Ti3C2Tx/g-C3N4-2 (3% g-C3N4) at 1 A g⁻¹ in 1 M H2SO4,Not reported,Not reported; device-level energy/power density reported instead (23.98 Wh kg⁻¹ at 139.66 W kg⁻¹)
Not reported,"2022, Murugesan & Nagamuthu Raja",Ti3C2Tx,"Ti3C2Tx with –OH, –F, –O and =O surface terminations; confirmed by XPS (Ti 2p, C 1s, O 1s and F 1s)","Direct HF etching: 30 wt% HF for 5 h at room temperature, 750 rpm; 250 mg Ti3AlC2 in 50 mL HF",Multilayer; FESEM shows distinctly separated layers post-etching,10.1 Å from XRD (002) peak; expanded from 9.8 Å for MAX phase,Not reported,Not reported,Not reported,Not reported,"Not reported; slurry coated by doctor blade, but thickness not specified",1 mg cm⁻²; 1 mg active material on 1×1 cm² grafoil sheet,3 M KOH (best); 3 M Na2SO4 compared,Not reported,5 mV s⁻¹,2 A g⁻¹,92 F g⁻¹ in 3 M KOH at 2 A g⁻¹; 75 F g⁻¹ in 3 M Na2SO4,Not reported,Not reported
10.1016/j.ceramint.2018.05.055,"2018, Ramachandran et al.",Not applicable,Cobalt metal-organic framework on Ni foam; Co2+/Co3+ redox; -OH surface groups,In-situ hydrothermal at 120C for 12 h in DMF with Co(NO3)2.6H2O and H3BTC,Not reported,Not reported,~5 um (microsphere diameter),Not reported,27.99 nm,Not reported,Not reported,2.9 +/- 0.1 mg,3 M KOH,3.431 m2 g-1,2 mV s-1,3 mA cm-2,2872.5 F g-1,Not reported,8.61 F cm-2
10.1016/j.ceramint.2018.05.055,"2018, Ramachandran et al.",Ti3C2Tx,Ti3C2 with -OH and -F terminations; combined with Co-MOF on Ni foam; intercalation pseudocapacitance,HF etching of Ti3AlC2 at 50C for 36 h; in-situ hydrothermal with Co-MOF at 120C for 12 h,Multilayer,Not reported,Not reported,Not reported,14.79 nm,Not reported,Not reported,5 +/- 0.1 mg,3 M KOH,14.012 m2 g-1,2 mV s-1,3 mA cm-2,3741 F g-1,Not reported,18.7 F cm-2
10.1002/aenm.201502290,"2016, Come et al.",Ti3C2Tx,Ti3C2(OH/O/F),"HF etching of Ti3AlC2, DMSO intercalation, sonication, vacuum filtration to free-standing paper",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2 μm,Not reported,1 M Li2SO4 (aqueous),Not reported,5 mV s⁻¹ (pre-cycling); 2 mV s⁻¹ (in-situ CR-AFM scans),Not reported,Not reported,Not reported,Not reported
10.1002/aenm.201502290,"2016, Come et al.",Ti3C2Tx,Ti3C2(OH/O/F),"HF etching of Ti3AlC2, DMSO intercalation, sonication, vacuum filtration to free-standing paper",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2 μm,Not reported,0.5 M K2SO4 (aqueous),Not reported,5 mV s⁻¹ (pre-cycling); 2 mV s⁻¹ (in-situ CR-AFM scans),Not reported,Not reported,Not reported,Not reported
10.1002/aelm.201800179,"2018, Huang et al.",Ti₃C₂Tₓ,"Ti: 32.4%, C: 35.6%, O: 19.9%, F: 12.1% (XPS)",HCl/LiF selective etching of Ti₃AlC₂ MAX phase at 40°C for 45 h; vacuum-assisted filtration of colloidal ink,Not reported,2.04 nm,Not reported,Not reported,Not reported,Not reported,4 µm,Not reported,PVA/H₂SO₄ gel,Not reported,"5, 10, 20, 50, 80, 100 mV s⁻¹","0.25, 0.5, 1.0, 2.5, 5.0 mA cm⁻²",Not reported,183 F cm⁻³ at 0.25 mA cm⁻²,73 mF cm⁻² at 0.25 mA cm⁻² (two-electrode)
10.1002/aelm.201800179,"2018, Huang et al.",Ti₃C₂Tₓ,"Ti: 32.4%, C: 35.6%, O: 19.9%, F: 12.1% (XPS)",HCl/LiF selective etching of Ti₃AlC₂ MAX phase at 40°C for 45 h; vacuum-assisted filtration of colloidal ink,Not reported,2.04 nm,Not reported,Not reported,Not reported,Not reported,11 µm,Not reported,PVA/H₂SO₄ gel,Not reported,"5, 10, 20, 50, 80, 100 mV s⁻¹","0.25, 0.5, 1.0, 2.5, 5.0 mA cm⁻²",Not reported,122 F cm⁻³ at 0.25 mA cm⁻²,134 mF cm⁻² at 0.25 mA cm⁻² (two-electrode); 292 mF cm⁻² (single electrode)
10.1002/aelm.201800179,"2018, Huang et al.",Ti₃C₂Tₓ,"Ti: 32.4%, C: 35.6%, O: 19.9%, F: 12.1% (XPS)",HCl/LiF selective etching of Ti₃AlC₂ MAX phase at 40°C for 45 h; vacuum-assisted filtration of colloidal ink,Not reported,2.04 nm,Not reported,Not reported,Not reported,Not reported,21 µm,Not reported,PVA/H₂SO₄ gel,Not reported,"5, 10, 20, 50, 80, 100 mV s⁻¹","0.25, 0.5, 1.0, 2.5, 5.0 mA cm⁻²",Not reported,162 F cm⁻³ at 0.25 mA cm⁻²; 732 F cm⁻³ (single electrode),340 mF cm⁻² at 0.25 mA cm⁻² (two-electrode); 1360 mF cm⁻² (single electrode)
10.1007/s13391-016-6088-z,"2016, Wang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F surface terminations","Hydrothermal etching with NH₄F (150 °C, 24 h)",Not reported,12.46 Å,Not reported,Not reported,18.26 nm,Not reported,0.12 mm,Not reported,3 M KOH,47.25 m² g⁻¹,1–40 mV s⁻¹,2 A g⁻¹,Not reported,141 F cm⁻³,Not reported
10.1016/j.nanoen.2019.103991,"2019, Allah et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations hybridized with N-doped ordered mesoporous carbon (NOMC); N-6 (21%), N-5, N-Q, N-X (26%) species confirmed by XPS","HF etching of Ti3AlC2 (60°C, 18h) + TMAOH delamination (RT, 18h) + sonication (2h); PMF/P123 micelle self-assembly on MXene surface; hydrothermal 130°C, 20h; carbonization 900°C, 4h, N2 atmosphere, ramping rate 5°C min-1",Delaminated (exfoliated single/few-layer nanosheets),"Not reported for MXene layers (MXene (002) peak absent in hybrid — restacking inhibited by NOMC); NOMC mesopore periodicity: 8.03 nm (low-angle XRD, 2θ=1.1°)","Several micrometers lateral (SEM, Fig. S1); individual layer thickness: NOMC 10-30 nm, Ti3C2Tx 10-15 nm (cross-section TEM, Fig. 2c)",Not reported,Not reported (micropores + mesopores confirmed by NLDFT; no single peak diameter stated),Not reported,Not reported (full electrode film thickness not stated; individual layer thicknesses from TEM only),"~1 mg cm-2 (calculated from 2 mg/400 µL ink, 200 µL deposited on 1×1 cm2 graphite paper)","3 M KOH (aqueous, three-electrode system)",1023 m2 g-1 (BET),5 mV s-1 (CV comparison condition),1 A g-1 (GCD condition for best capacitance),329 F g-1 at 1 A g-1 (three-electrode); 276 F g-1 at 1 A g-1 (symmetric cell),823 F cm-3 at 1 A g-1 (three-electrode); 690 F cm-3 at 1 A g-1 (symmetric cell),Not reported
10.1016/j.nanoen.2019.103991,"2019, Allah et al.",Ti3C2Tx,"Ti3C2 with surface terminations (-OH, -F, =O); as-prepared delaminated form used as electrode (no calcination step)","HF etching of Ti3AlC2 (60°C, 18h) + TMAOH delamination + sonication; no NOMC step",Delaminated (exfoliated single/few-layer nanosheets),Not reported explicitly; (002) peak at ~6° 2theta in wide-angle XRD (d-spacing in nm not stated in paper),"Several micrometers (lateral, from SEM)",Not reported,Mesopores only (from interlayer space); no explicit diameter value given,Not reported,Not reported,"~1 mg cm-2 (calculated from same ink preparation: 2 mg/400 µL ink, 200 µL on 1×1 cm2)","3 M KOH (aqueous, three-electrode system)",149 m2 g-1 (BET),5 mV s-1 (CV comparison condition),1 A g-1 (GCD condition),230 F g-1 at 1 A g-1; retains 25% (57.5 F g-1) at 50 A g-1,Not reported,Not reported
10.1016/j.nanoen.2019.103991,"2019, Allah et al.",N/A (carbon only),Nitrogen-doped ordered mesoporous carbon spheres (20-100 nm); N-doping from melamine precursor; no MXene component,"PMF/P123 micelle self-assembly (without Ti3C2Tx) + hydrothermal 130°C, 20h; carbonization 900°C, 4h, N2 atmosphere, ramping rate 5°C min-1","Not applicable (spherical morphology, 20-100 nm diameter)",Not applicable,"20-100 nm sphere diameter (SEM, Fig. S5)",Not reported,Not reported (ordered mesopores confirmed by structure; no explicit value for spheres),Not reported,Not reported,"~1 mg cm-2 (calculated from same ink preparation: 2 mg/400 µL ink, 200 µL on 1×1 cm2 graphite paper)","3 M KOH (aqueous, three-electrode system)",Not reported (BET not reported separately for NOMC spheres),"5 mV s-1 (CV comparison, Fig. S11a)",1 A g-1 (GCD condition),285 F g-1 at 1 A g-1; retains 24% (68.4 F g-1) at 50 A g-1,Not reported,Not reported
10.1039/C6NR01462C,"2016, Mashtalir et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O surface terminations","HF etching of Ti₃AlC₂ MAX phase (50% HF aq., RT, 18 h); washed 6–8× with DI water to pH ≈ 6; filtered through polypropylene membrane, washed with ethanol, dried under vacuum (<10 Torr, RT, 24 h)",Multilayer,20.2 Å (c-lattice parameter from XRD (0002) peak),Not reported (lateral dimensions not quantified; SEM images shown only),Not reported,Not reported,Not reported,70 µm,Not reported,1 M H₂SO₄ (aq.),Not reported,1–100 mV s⁻¹,"0.1, 1, 10 A g⁻¹",Not reported (shown as reference curve in Fig. 4b only; ~3× lower than HM-treated; no explicit value given),Not reported,Not reported
10.1039/C6NR01462C,"2016, Mashtalir et al.",Ti₃C₂Tₓ/N₂H₄,Ti₃C₂ with reduced –OH/–F terminations; intercalated N₂H₄ monolayer; ~46% of initial H content retained (by INS),"HF etching of Ti₃AlC₂ MAX phase (50% HF aq., RT, 18 h); wet powder suspended in hydrazine monohydrate (HM:MXene = 10:1 wt), stirred 24 h at RT; filtered, washed with ethanol, dried under vacuum (<10 Torr, RT, 24 h)",Multilayer; ~100 nm-thick lamellas after intercalation (SEM); crystalline size along c = 20.4 nm (Scherrer formula),25.4 Å (c-lattice parameter from XRD (0002) peak after HM treatment; increased from 20.2 Å),Not reported (lateral dimensions not quantified; SEM images shown only),Not reported,Not reported,Not reported,70 µm,Not reported,1 M H₂SO₄ (aq.); 0.5 M K₂SO₄ (aq.); 1 M LiClO₄ in EC:DMC (1:1 v/v),Not reported,1–100 mV s⁻¹,"0.1, 1, 10 A g⁻¹ (GCD); 5 A g⁻¹ (cycling stability test, Fig. 4c)","215 F g⁻¹ (GCD at 5 A g⁻¹, 1 M H₂SO₄, from results section); 250 F g⁻¹ (stated in abstract, acidic electrolyte)","250 F cm⁻³ (GCD at 5 A g⁻¹, 1 M H₂SO₄)",Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",MILD (LiF/HCl etching),Delaminated (single-layer),12.78 Å (c-LP = 25.56 Å),Not reported,Not reported,Not reported,Not reported,3.5 µm,1.27 mg cm-2,3 M H2SO4,Not reported,20 mV s-1,Not reported,340 F g-1,Not reported,Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",MILD (LiF/HCl etching),Delaminated (single-layer),12.78 Å (c-LP = 25.56 Å),Not reported,Not reported,Not reported,Not reported,10 µm,3.40 mg cm-2,3 M H2SO4,Not reported,20 mV s-1,Not reported,262 F g-1,Not reported,Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx/PANI,"Ti3C2Tx + PANI (~3.2 wt%); -OH, -F, =O terminations",MILD + oxidant-free in situ PANI polymerization,Delaminated (single-layer),13.53 Å (c-LP = 27.05 Å; +0.75 Å vs pristine),Not reported,Not reported,Not reported,Not reported,4 µm,1.34 mg cm-2,3 M H2SO4,Not reported,2 mV s-1,Not reported,503 F g-1,1682 F cm-3,Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx/PANI,"Ti3C2Tx + PANI (~3.2 wt%); -OH, -F, =O terminations",MILD + oxidant-free in situ PANI polymerization,Delaminated (single-layer),13.53 Å (c-LP = 27.05 Å; +0.75 Å vs pristine),Not reported,Not reported,Not reported,Not reported,13 µm,3.3 mg cm-2,3 M H2SO4,Not reported,2 mV s-1,Not reported,458 F g-1,1163 F cm-3,Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx/PANI,"Ti3C2Tx + PANI (~3.2 wt%); -OH, -F, =O terminations",MILD + oxidant-free in situ PANI polymerization,Delaminated (single-layer),13.53 Å (c-LP = 27.05 Å; +0.75 Å vs pristine),Not reported,Not reported,Not reported,Not reported,20 µm,5.03 mg cm-2,3 M H2SO4,Not reported,10 mV s-1,Not reported,~325 F g-1,1129 F cm-3,2.26 F cm-2
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx/PANI,"Ti3C2Tx + PANI (~3.2 wt%); -OH, -F, =O terminations",MILD + oxidant-free in situ PANI polymerization,Delaminated (single-layer),13.53 Å (c-LP = 27.05 Å; +0.75 Å vs pristine),Not reported,Not reported,Not reported,Not reported,45 µm,13.84 mg cm-2,3 M H2SO4,Not reported,2 mV s-1,Not reported,371 F g-1,1141 F cm-3,Not reported
10.1039/C8TA05807E,"2018, VahidMohammadi et al.",Ti3C2Tx/PANI,"Ti3C2Tx + PANI (~3.2 wt%); -OH, -F, =O terminations",MILD + oxidant-free in situ PANI polymerization,Delaminated (single-layer),13.53 Å (c-LP = 27.05 Å; +0.75 Å vs pristine),Not reported,Not reported,Not reported,Not reported,90 µm,23.82 mg cm-2,3 M H2SO4,Not reported,2 mV s-1,Not reported,336 F g-1,~889 F cm-3,~8 F cm-2
